id,account_id,month,aop_amount
1316,466739061204,2024-11-01,0.0
1317,466739061204,2024-12-01,0.0
1318,466739061204,2025-01-01,0.0
1319,466739061204,2025-02-01,0.0
1320,466739061204,2025-03-01,0.0
1549,516248475246,2024-04-01,0.0
1550,516248475246,2024-05-01,0.0
1551,516248475246,2024-06-01,0.0
1552,516248475246,2024-07-01,0.0
1553,516248475246,2024-08-01,0.0
1554,516248475246,2024-09-01,0.0
1555,516248475246,2024-10-01,0.0
1556,516248475246,2024-11-01,0.0
1557,516248475246,2024-12-01,0.0
1558,516248475246,2025-01-01,0.0
1559,516248475246,2025-02-01,0.0
1560,516248475246,2025-03-01,0.0
1573,518628324662,2024-04-01,0.0
1574,518628324662,2024-05-01,0.0
1575,518628324662,2024-06-01,0.0
1576,518628324662,2024-07-01,0.0
1577,518628324662,2024-08-01,0.0
1578,518628324662,2024-09-01,0.0
1579,518628324662,2024-10-01,0.0
1580,518628324662,2024-11-01,0.0
1581,518628324662,2024-12-01,0.0
1582,518628324662,2025-01-01,0.0
1583,518628324662,2025-02-01,0.0
1584,518628324662,2025-03-01,0.0
1585,521026337032,2024-04-01,0.0
1586,521026337032,2024-05-01,0.0
1587,521026337032,2024-06-01,0.0
1588,521026337032,2024-07-01,0.0
1589,521026337032,2024-08-01,0.0
1590,521026337032,2024-09-01,0.0
1591,521026337032,2024-10-01,0.0
1592,521026337032,2024-11-01,0.0
1593,521026337032,2024-12-01,0.0
1594,521026337032,2025-01-01,0.0
1595,521026337032,2025-02-01,0.0
1596,521026337032,2025-03-01,0.0
1609,529444375373,2024-04-01,40000.0
1610,529444375373,2024-05-01,50000.0
1611,529444375373,2024-06-01,60000.0
1612,529444375373,2024-07-01,70000.0
1613,529444375373,2024-08-01,70000.0
1614,529444375373,2024-09-01,80000.0
1615,529444375373,2024-10-01,80000.0
1616,529444375373,2024-11-01,90000.0
1617,529444375373,2024-12-01,100000.0
1618,529444375373,2025-01-01,100000.0
1619,529444375373,2025-02-01,120000.0
1620,529444375373,2025-03-01,130000.0
1621,530442861152,2024-04-01,0.0
1622,530442861152,2024-05-01,0.0
1623,530442861152,2024-06-01,0.0
1624,530442861152,2024-07-01,0.0
1625,530442861152,2024-08-01,0.0
1626,530442861152,2024-09-01,0.0
1627,530442861152,2024-10-01,0.0
1628,530442861152,2024-11-01,0.0
1629,530442861152,2024-12-01,0.0
1630,530442861152,2025-01-01,0.0
1631,530442861152,2025-02-01,0.0
1632,530442861152,2025-03-01,0.0
1717,552801059456,2024-04-01,0.0
1718,552801059456,2024-05-01,0.0
1719,552801059456,2024-06-01,0.0
1720,552801059456,2024-07-01,0.0
1721,552801059456,2024-08-01,0.0
1722,552801059456,2024-09-01,0.0
1723,552801059456,2024-10-01,0.0
1724,552801059456,2024-11-01,0.0
1725,552801059456,2024-12-01,0.0
1726,552801059456,2025-01-01,0.0
1727,552801059456,2025-02-01,0.0
1728,552801059456,2025-03-01,0.0
1753,567122392682,2024-04-01,0.0
1754,567122392682,2024-05-01,0.0
1755,567122392682,2024-06-01,0.0
1756,567122392682,2024-07-01,0.0
1757,567122392682,2024-08-01,0.0
1758,567122392682,2024-09-01,0.0
1759,567122392682,2024-10-01,0.0
1760,567122392682,2024-11-01,0.0
1761,567122392682,2024-12-01,0.0
