id,account_id,month,spend,service_type
1120,475804058290,2024-07-01,24700.0,compute
1121,475804058290,2024-08-01,22900.0,compute
1122,475804058290,2024-09-01,22400.0,compute
1123,475804058290,2024-10-01,25200.0,compute
1124,475804058290,2024-11-01,26200.0,compute
1125,475804058290,2024-12-01,0.0,compute
1126,475804058290,2025-01-01,0.0,compute
1127,475804058290,2025-02-01,0.0,compute
1128,475804058290,2025-03-01,0.0,compute
1141,477161539263,2024-04-01,4000.0,compute
1142,477161539263,2024-05-01,4000.0,compute
1143,477161539263,2024-06-01,4200.0,compute
1144,477161539263,2024-07-01,4900.0,compute
1145,477161539263,2024-08-01,4900.0,compute
1146,477161539263,2024-09-01,0.0,compute
1147,477161539263,2024-10-01,0.0,compute
1148,477161539263,2024-11-01,0.0,compute
1149,477161539263,2024-12-01,0.0,compute
1150,477161539263,2025-01-01,0.0,compute
1151,477161539263,2025-02-01,0.0,compute
1152,477161539263,2025-03-01,0.0,compute
1153,477815026673,2024-04-01,400.0,compute
1154,477815026673,2024-05-01,100.0,compute
1155,477815026673,2024-06-01,100.0,compute
1156,477815026673,2024-07-01,100.0,compute
1157,477815026673,2024-08-01,100.0,compute
1158,477815026673,2024-09-01,100.0,compute
1159,477815026673,2024-10-01,100.0,compute
1160,477815026673,2024-11-01,100.0,compute
1161,477815026673,2024-12-01,100.0,compute
1162,477815026673,2025-01-01,100.0,compute
1163,477815026673,2025-02-01,100.0,compute
1164,477815026673,2025-03-01,100.0,compute
1297,537598503159,2024-04-01,7700.0,compute
1298,537598503159,2024-05-01,7500.0,compute
1299,537598503159,2024-06-01,6800.0,compute
1300,537598503159,2024-07-01,6800.0,compute
1301,537598503159,2024-08-01,6200.0,compute
1302,537598503159,2024-09-01,7000.0,compute
1303,537598503159,2024-10-01,7600.0,compute
1304,537598503159,2024-11-01,7500.0,compute
1305,537598503159,2024-12-01,7100.0,compute
1306,537598503159,2025-01-01,7300.0,compute
1307,537598503159,2025-02-01,7300.0,compute
1308,537598503159,2025-03-01,7300.0,compute
1333,542832536672,2024-04-01,0.0,compute
1334,542832536672,2024-05-01,0.0,compute
1335,542832536672,2024-06-01,0.0,compute
1336,542832536672,2024-07-01,0.0,compute
1337,542832536672,2024-08-01,0.0,compute
1338,542832536672,2024-09-01,0.0,compute
1339,542832536672,2024-10-01,0.0,compute
1340,542832536672,2024-11-01,0.0,compute
1341,542832536672,2024-12-01,0.0,compute
1342,542832536672,2025-01-01,0.0,compute
1343,542832536672,2025-02-01,0.0,compute
1344,542832536672,2025-03-01,0.0,compute
1429,576349278157,2024-04-01,100.0,compute
1430,576349278157,2024-05-01,100.0,compute
1431,576349278157,2024-06-01,100.0,compute
1432,576349278157,2024-07-01,100.0,compute
1433,576349278157,2024-08-01,100.0,compute
1434,576349278157,2024-09-01,0.0,compute
1435,576349278157,2024-10-01,0.0,compute
1436,576349278157,2024-11-01,0.0,compute
1437,576349278157,2024-12-01,0.0,compute
1438,576349278157,2025-01-01,0.0,compute
1439,576349278157,2025-02-01,0.0,compute
1440,576349278157,2025-03-01,0.0,compute
1453,580053151223,2024-04-01,4200.0,compute
1454,580053151223,2024-05-01,4100.0,compute
1455,580053151223,2024-06-01,4000.0,compute
1456,580053151223,2024-07-01,4200.0,compute
1457,580053151223,2024-08-01,4100.0,compute
1458,580053151223,2024-09-01,3900.0,compute
1459,580053151223,2024-10-01,4300.0,compute
1460,580053151223,2024-11-01,4300.0,compute
1461,580053151223,2024-12-01,4100.0,compute
1462,580053151223,2025-01-01,4200.0,compute
1463,580053151223,2025-02-01,4200.0,compute
1464,580053151223,2025-03-01,4200.0,compute
1465,582604545400,2024-04-01,0.0,compute
1466,582604545400,2024-05-01,0.0,compute
1467,582604545400,2024-06-01,0.0,compute
1468,582604545400,2024-07-01,0.0,compute
1469,582604545400,2024-08-01,0.0,compute
1470,582604545400,2024-09-01,0.0,compute
