account_id,month,spend
218943325897,Aug-2024,336
658447621694,Aug-2024,411
541095382258,Aug-2024,1891
548411824430,Aug-2024,327
576911611801,Aug-2024,252
320811487590,Aug-2024,224
661338130494,Aug-2024,216
453914767997,Aug-2024,160
737499001343,Aug-2024,115
116631508635,Aug-2024,697
264522784930,Aug-2024,57
841860372390,Aug-2024,1241
850995531967,Aug-2024,0
322263815270,Aug-2024,2
185774682289,Aug-2024,1
470060591194,Aug-2024,1
463470958933,Aug-2024,0
663804405009,Aug-2024,20424
290310562512,Aug-2024,356
700271710604,Aug-2024,986
518207312579,Aug-2024,1058
471112938013,Aug-2024,374
654654315008,Aug-2024,435
161282784430,Aug-2024,1
538615689396,Aug-2024,393
975049937880,Aug-2024,38
798411736697,Aug-2024,4
608146213544,Aug-2024,190
23903256547,Aug-2024,307
769263341944,Aug-2024,2
475919677060,Aug-2024,82
797142548187,Aug-2024,0
176839215860,Aug-2024,1
269350686318,Aug-2024,46
576218818919,Aug-2024,10
678670235450,Aug-2024,8
605458724602,Aug-2024,16
239937555916,Aug-2024,0
860971823470,Aug-2024,0
907058949943,Aug-2024,7
532041146482,Aug-2024,2
913203018054,Aug-2024,1
905418240150,Aug-2024,0
352506242819,Sep-2024,698920
628412515026,Sep-2024,395407
340077773684,Sep-2024,205472
567423616371,Sep-2024,230244
968032760053,Sep-2024,194144
002637409966,Sep-2024,184598
304016915943,Sep-2024,153841
424503791295,Sep-2024,137728
899249751508,Sep-2024,126668
272415727726,Sep-2024,94715
075790327284,Sep-2024,97773
211125458732,Sep-2024,89449
381491835802,Sep-2024,64515
898496923608,Sep-2024,112771
445736908015,Sep-2024,103520
564188254156,Sep-2024,82156
705108899578,Sep-2024,54334
755560366148,Sep-2024,48695
811134095225,Sep-2024,52866
359716425895,Sep-2024,55844
003079193758,Sep-2024,50099
901553615594,Sep-2024,46800
210577074618,Sep-2024,30899
479671683529,Sep-2024,36543
423969094700,Sep-2024,36840
746682193773,Sep-2024,44543
761904723706,Sep-2024,30621
211125515568,Sep-2024,23367
647564693872,Sep-2024,11093
182401677120,Sep-2024,27522
975049957371,Sep-2024,16733
337891198417,Sep-2024,64515
752518464574,Sep-2024,20896
929265682896,Sep-2024,24303
021891570382,Sep-2024,14307
419830208690,Sep-2024,20391
753168370952,Sep-2024,21337
161115069565,Sep-2024,17066
233815244996,Sep-2024,18550
522974168642,Sep-2024,15054
28914776520,Sep-2024,15231
546818093346,Sep-2024,28810
758230397644,Sep-2024,13912
252197745876,Sep-2024,13415
576293063887,Sep-2024,12944
251917288737,Sep-2024,11195
474140895141,Sep-2024,11829
239103975135,Sep-2024,9542
789596305652,Sep-2024,7913
072401294672,Sep-2024,15009
495419344110,Sep-2024,8688
339712759199,Sep-2024,5548
340677782776,Sep-2024,6977
984308723723,Sep-2024,6749
407648374860,Sep-2024,7032
480732456233,Sep-2024,7609
885068115609,Sep-2024,5508
339712810712,Sep-2024,3599
318633126153,Sep-2024,6229
090436275138,Sep-2024,7112
952840895893,Sep-2024,5121
442447453008,Sep-2024,4814
66548792077,Sep-2024,1446
685585466397,Sep-2024,4470
337158390682,Sep-2024,4230
471112958605,Sep-2024,2158
698979518480,Sep-2024,5507
615069360012,Sep-2024,4046
997924011427,Sep-2024,3976
68930846606,Sep-2024,3877
131752971524,Sep-2024,1296
66636274316,Sep-2024,3533
64619502227,Sep-2024,3422
562921704166,Sep-2024,3537
97001033170,Sep-2024,3150
848332057417,Sep-2024,3353
718893572916,Sep-2024,3316
914516902729,Sep-2024,2151
736384229724,Sep-2024,3618
127247839315,Sep-2024,2334
722152247093,Sep-2024,2741
664526282133,Sep-2024,2368
611670160261,Sep-2024,1937
439726107081,Sep-2024,1897
821240137883,Sep-2024,1715
469795226344,Sep-2024,62129
368920154232,Sep-2024,1766
135329050410,Sep-2024,1358
54736913503,Sep-2024,2324
824873459626,Sep-2024,1500
625612021127,Sep-2024,1399
465354398947,Sep-2024,1204
272968093320,Sep-2024,1190
494799526181,Sep-2024,1087
153518195166,Sep-2024,985
481935107677,Sep-2024,917
505767364771,Sep-2024,277
389881277731,Sep-2024,788
17820698743,Sep-2024,850
954976288980,Sep-2024,0
130653941854,Sep-2024,1561
630307967658,Sep-2024,783
745098155683,Sep-2024,590
492902601864,Sep-2024,746
239666495852,Sep-2024,579
510772292268,Sep-2024,1105
367464822874,Sep-2024,177
218943325897,Sep-2024,325
658447621694,Sep-2024,398
541095382258,Sep-2024,1852
548411824430,Sep-2024,312
576911611801,Sep-2024,249
320811487590,Sep-2024,222
661338130494,Sep-2024,213
453914767997,Sep-2024,157
737499001343,Sep-2024,110
116631508635,Sep-2024,475
264522784930,Sep-2024,56
841860372390,Sep-2024,1111
850995531967,Sep-2024,0
322263815270,Sep-2024,2
185774682289,Sep-2024,2
470060591194,Sep-2024,1
463470958933,Sep-2024,0
663804405009,Sep-2024,0
290310562512,Sep-2024,0
700271710604,Sep-2024,958
518207312579,Sep-2024,997
471112938013,Sep-2024,361
654654315008,Sep-2024,421
161282784430,Sep-2024,1
538615689396,Sep-2024,382
975049937880,Sep-2024,0
798411736697,Sep-2024,4
608146213544,Sep-2024,184
23903256547,Sep-2024,156
769263341944,Sep-2024,1
475919677060,Sep-2024,82
797142548187,Sep-2024,0
176839215860,Sep-2024,1
269350686318,Sep-2024,42
576218818919,Sep-2024,0
678670235450,Sep-2024,0
605458724602,Sep-2024,17
239937555916,Sep-2024,0
860971823470,Sep-2024,0
907058949943,Sep-2024,0
532041146482,Sep-2024,0
913203018054,Sep-2024,1
905418240150,Sep-2024,0
352506242819,Oct-2024,715548
628412515026,Oct-2024,409911
340077773684,Oct-2024,209704
567423616371,Oct-2024,227052
968032760053,Oct-2024,181198
002637409966,Oct-2024,179792
304016915943,Oct-2024,164692
424503791295,Oct-2024,144584
899249751508,Oct-2024,136458
272415727726,Oct-2024,97996
075790327284,Oct-2024,99016
211125458732,Oct-2024,96450
381491835802,Oct-2024,73053
898496923608,Oct-2024,107024
445736908015,Oct-2024,112597
564188254156,Oct-2024,88557
705108899578,Oct-2024,56527
755560366148,Oct-2024,46377
811134095225,Oct-2024,53320
359716425895,Oct-2024,62556
003079193758,Oct-2024,50804
901553615594,Oct-2024,49538
210577074618,Oct-2024,30246
479671683529,Oct-2024,39281
423969094700,Oct-2024,38123
746682193773,Oct-2024,40889
761904723706,Oct-2024,31309
211125515568,Oct-2024,25540
647564693872,Oct-2024,15318
182401677120,Oct-2024,26289
975049957371,Oct-2024,17593
337891198417,Oct-2024,99135
752518464574,Oct-2024,19974
929265682896,Oct-2024,26277
021891570382,Oct-2024,15112
419830208690,Oct-2024,21871
753168370952,Oct-2024,21928
161115069565,Oct-2024,17179
233815244996,Oct-2024,19860
522974168642,Oct-2024,15623
28914776520,Oct-2024,15353
546818093346,Oct-2024,21466
758230397644,Oct-2024,17711
252197745876,Oct-2024,14267
576293063887,Oct-2024,12689
251917288737,Oct-2024,11374
474140895141,Oct-2024,12123
239103975135,Oct-2024,9915
789596305652,Oct-2024,8122
072401294672,Oct-2024,12171
495419344110,Oct-2024,8684
339712759199,Oct-2024,5323
340677782776,Oct-2024,7236
984308723723,Oct-2024,7472
407648374860,Oct-2024,6885
480732456233,Oct-2024,6968
885068115609,Oct-2024,6072
339712810712,Oct-2024,3342
318633126153,Oct-2024,6227
090436275138,Oct-2024,6036
952840895893,Oct-2024,5374
442447453008,Oct-2024,5061
66548792077,Oct-2024,1474
685585466397,Oct-2024,4819
337158390682,Oct-2024,4510
471112958605,Oct-2024,2201
698979518480,Oct-2024,5369
615069360012,Oct-2024,4337
997924011427,Oct-2024,4069
68930846606,Oct-2024,4085
131752971524,Oct-2024,957
66636274316,Oct-2024,3611
64619502227,Oct-2024,3339
562921704166,Oct-2024,6103
97001033170,Oct-2024,3318
848332057417,Oct-2024,3470
718893572916,Oct-2024,3482
914516902729,Oct-2024,2743
736384229724,Oct-2024,5547
127247839315,Oct-2024,2606
722152247093,Oct-2024,2779
664526282133,Oct-2024,2547
611670160261,Oct-2024,2013
439726107081,Oct-2024,1629
821240137883,Oct-2024,1759
469795226344,Oct-2024,5448
368920154232,Oct-2024,1719
135329050410,Oct-2024,1402
54736913503,Oct-2024,2321
824873459626,Oct-2024,1523
625612021127,Oct-2024,1414
465354398947,Oct-2024,1265
272968093320,Oct-2024,1271
494799526181,Oct-2024,1176
153518195166,Oct-2024,1038
481935107677,Oct-2024,932
505767364771,Oct-2024,285
389881277731,Oct-2024,813
17820698743,Oct-2024,2749
954976288980,Oct-2024,0
130653941854,Oct-2024,1602
630307967658,Oct-2024,785
745098155683,Oct-2024,599
492902601864,Oct-2024,750
239666495852,Oct-2024,609
510772292268,Oct-2024,1217
367464822874,Oct-2024,182
218943325897,Oct-2024,336
658447621694,Oct-2024,412
541095382258,Oct-2024,1913
548411824430,Oct-2024,309
576911611801,Oct-2024,258
320811487590,Oct-2024,226
661338130494,Oct-2024,224
453914767997,Oct-2024,161
737499001343,Oct-2024,118
116631508635,Oct-2024,466
264522784930,Oct-2024,66
841860372390,Oct-2024,1135
850995531967,Oct-2024,0
322263815270,Oct-2024,2
185774682289,Oct-2024,2
470060591194,Oct-2024,2
463470958933,Oct-2024,0
663804405009,Oct-2024,0
290310562512,Oct-2024,0
700271710604,Oct-2024,989
518207312579,Oct-2024,1076
471112938013,Oct-2024,374
654654315008,Oct-2024,453
161282784430,Oct-2024,2
538615689396,Oct-2024,398
975049937880,Oct-2024,0
798411736697,Oct-2024,5
608146213544,Oct-2024,191
23903256547,Oct-2024,146
769263341944,Oct-2024,0
475919677060,Oct-2024,82
797142548187,Oct-2024,0
176839215860,Oct-2024,1
269350686318,Oct-2024,24
576218818919,Oct-2024,0
678670235450,Oct-2024,0
605458724602,Oct-2024,18
239937555916,Oct-2024,0
860971823470,Oct-2024,0
907058949943,Oct-2024,0
532041146482,Oct-2024,0
913203018054,Oct-2024,1
905418240150,Oct-2024,0
352506242819,Nov-2024,675212
628412515026,Nov-2024,412154
340077773684,Nov-2024,208042
567423616371,Nov-2024,223311
968032760053,Nov-2024,158760
