account_id,account_name,hod_name,entity,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26
737499001343,call-centre-ivr,Lalit Mohan Pandey, OCL ,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
567423616371,parent account_ocl,Mukesh Meena, OCL ,"240,000.00000000","245,000.00000000","245,000.00000000","250,000.00000000","250,000.00000000","250,000.00000000","255,000.00000000","255,000.00000000","260,000.00000000","265,000.00000000","260,000.00000000","265,000.00000000"
423969094700,push_notifications_ocl,Mukesh Meena, OCL ,"38,000.00000000","38,000.00000000","38,000.00000000","39,000.00000000","39,000.00000000","39,000.00000000","40,000.00000000","40,000.00000000","40,000.00000000","41,000.00000000","40,000.00000000","41,000.00000000"
562921704166,paytm-ups,Mukesh Meena, OCL ,"4,300.00000000","4,300.00000000","4,300.00000000","4,300.00000000","4,300.00000000","4,300.00000000","4,300.00000000","4,300.00000000","4,300.00000000","4,300.00000000","4,300.00000000","4,300.00000000"
698979518480,bitbucket_ocl,Mukesh Meena, OCL ,"8,500.00000000","8,500.00000000","8,500.00000000","8,500.00000000","8,500.00000000","8,500.00000000","9,500.00000000","9,500.00000000","9,500.00000000","9,500.00000000","9,500.00000000","9,500.00000000"
654654315008,ondc-analytics,Mukesh Meena, PAI ,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
090436275138,Digital Channels,Mukesh Meena, OCL ,"6,095.46941686","6,156.42411103","6,217.98835214","6,280.16823566","6,342.96991802","6,406.39961720","6,470.46361337","6,535.16824950","6,600.51993200","6,666.52513132","6,733.19038263","6,800.52228646"
131752971524,loyalitypoints/tocom,Mukesh Meena, OCL ,"10,000.00000000","10,000.00000000","10,000.00000000","12,000.00000000","12,000.00000000","12,000.00000000","14,000.00000000","14,000.00000000","14,000.00000000","16,000.00000000","16,000.00000000","16,000.00000000"
023903256547,central tools,Mukesh Meena, OCL ,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
337158390682,commoninfra_ocl,Mukesh Meena, OCL ,"6,500.00000000","6,500.00000000","6,500.00000000","6,500.00000000","6,500.00000000","6,500.00000000","7,500.00000000","7,500.00000000","7,500.00000000","7,500.00000000","7,500.00000000","7,500.00000000"
