"Service","EC2-Other($)","EC2-Instances($)","Elastic Load Balancing($)","S3($)","Elastic MapReduce($)","Elastic Container Service for Kubernetes($)","Managed Streaming for Apache Kafka($)","VPC($)","Route 53($)","EC2 Container Registry (ECR)($)","GuardDuty($)","CloudWatch($)","QuickSight($)","Key Management Service($)","Cost Explorer($)","Service Catalog($)","API Gateway($)","Secrets Manager($)","SNS($)","Lambda($)","DynamoDB($)","Glacier($)","Step Functions($)","SQS($)","Simple Workflow Service($)","CloudShell($)","CloudTrail($)","Glue($)","CloudWatch Events($)","X-Ray($)","CloudFormation($)","Total costs($)"
"2024-05-08","1018.3070910988","868.895539034","200.398040742","50.8360868825","16.612469616","16.8","15.6396686592","14.2719914632","13.5356084","5.5539027839","","3.0522087308","1.548387072","0.203397384","0.11","0","0.0014295863","0.00252","0.0000235565","0.0000157328","0.000026505","0.0000030686","0.0000003954","0.0000005474","0.0000007279","","0","0","0","","","2225.7684119863"
"2024-05-09","1038.3475419713","879.2324451943","184.6175421878","51.0672923625","16.565951292","16.8","15.62769395","14.088040608","13.52111","5.6864187695","","2.9597290637","1.548387072","0.206067384","0.11","0","0.001477591","0.00198","0.00002631","0.0000129469","0.0000702525","0.000003435","0.0000003788","0.0000005796","0.0000005239","","0","0","0","","","2240.3817918728"
"2024-05-10","1079.9010056859","896.3785969099","162.1944444767","50.5884103446","16.113541818","16.8","15.6312523426","14.1059248791","13.5691782938","5.7416389884","","2.8766183451","1.548387072","0.204939384","0.11","0","0.000663336","0.00225","0.0000176525","0.0000153125","0.0000275025","0.0000035776","0.000000411","0.0000008694","0.0000007277","","0","0","0","","","2275.7669179293"
"2024-05-11","1078.5005443851","885.1147826863","156.0456878257","50.9619344829","16.514790846","16.8","15.6470611825","13.9419587046","13.4576684438","5.7585036365","","2.5114329301","1.548387072","0.204681384","0.06","0","0.0014424915","0.00243","0.0000151583","0.0000135184","0.0000047025","0.0000034434","0.000000412","0.000000805","0.0000006987","","0","0","0","","","2257.0713448093"
"2024-05-12","1056.9187633372","882.9253566615","93.6850213863","50.7040845039","16.49918862","16.8","15.6502544189","13.9367856455","13.3454844","5.7628000218","","2.7045792943","1.548387072","0.204486384","0.06","0","0.0014354811","0.00207","0.0000155698","0.0000150545","0.0000072675","0.0000035478","0.0000003964","0.0000007728","0.000000786","","0","0","0","","","2170.7487406213"
"2024-05-13","1057.1449425626","891.4365004669","144.5372966792","51.0340521986","16.56448902","16.8","15.6598460983","14.018275492","13.4828408","5.778020733","","2.7098982473","1.548387072","0.204411384","0.19","0","0.0014986485","0.00144","0.0000162742","0.0000158298","0.000003705","0.0000034507","0.00000033","0.0000006118","0.0000005822","","0","0","0","","","2231.1119401861"
"2024-05-14","1058.1766776732","934.9302862722","162.6403668952","51.2362388209","16.662510918","16.8","15.6642251411","14.1240902255","13.509622","5.8243732349","","2.7186701883","1.548387072","0.204225384","0.11","0","0.0016144694","0.00216","0.0000308407","0.0000137656","0.00005301","0.000003409","0.0000003808","0.0000007728","0.0000006987","","0","0","0","","","2294.1535511723"
"2024-05-15","1063.7981987136","950.3027919487","157.3893383561","51.1514487247","16.642506882","16.8","15.6119384588","14.0262978748","13.48636","5.917953383","","2.726352543","1.548387072","0.207672384","0.11","0","0.0015302359","0.00225","0.0000527763","0.0000140781","0.0001563225","0.0000031251","0.0000004276","0.000000644","0.0000006985","","0","0","0","","","2309.7232546487"
"2024-05-16","1044.00979677","958.1862449549","153.6775753014","51.0664892096","16.55324148","16.8","15.6028682398","14.1244131648","13.54024","6.0495115366","","2.8231370092","1.548387072","0.205587384","0.11","0","0.0011371475","0.00234","0.0000363304","0.0000153607","0.0001423575","0.0000031052","0.0000003818","0.000000805","0.0000006987","","0","0","0","","","2294.3011683091"
"2024-05-17","1060.7680284987","988.1532817353","86.0696086915","51.2798935873","16.607233548","16.8","15.6031581763","14.0990962762","13.6781964","6.1636123521","","2.7628064637","1.548387072","0.206574384","0.11","0","0.001642548","0.00198","0.0000291933","0.0000132972","0.000104595","0.0000029505","0.0000003632","0.0000007084","0.0000006113","","0","0","0","","","2273.853651452"
