"Service","VPC($)","EC2-Instances($)","EC2-Other($)","Cost Explorer($)","Service Catalog($)","Key Management Service($)","S3($)","Secrets Manager($)","Simple Workflow Service($)","Step Functions($)","Glacier($)","CloudTrail($)","Glue($)","SNS($)","SQS($)","CloudFormation($)","Total costs($)"
"2024-07-13","6.1530994532","3.1012702255","2.3302461266","0.01","0.0224","0.001512","0.0027421929","0.00018","0.0000019724","0.0000007488","","0","0","0","0","","11.6214527194"
"2024-07-14","6.1390513545","3.1012430653","2.3254990416","0.01","0.0252","0.001512","0.0029972335","0.000165","0.0000019724","0.0000009984","","0","0","0","0","","11.6056706657"
"2024-07-15","6.2271347938","3.1017622571","2.3254842565","0.01","0.0259","0.001512","0.0030822469","0.00017","0.0000019724","0.0000007488","","0","0","0","0","","11.6950482755"
"2024-07-16","6.2193228817","3.1019228131","2.3236837965","0.01","0.0266","0.00147","0.0031672607","0.000175","0.0000014793","0.0000009984","","0","0","0","0","","11.6863442297"
"2024-07-17","6.1872547632","3.1017971272","2.3287366615","0.01","0.0266","0.001512","0.0030768346","0.000165","0.0000019724","0.0000009984","","0","0","0","0","","11.6591453573"
"2024-07-18","6.1985812648","3.1018447445","2.328798975","0.01","0.0245","0.001512","0.0029122197","0.000165","0.0000019724","0.0000007488","","0","0","0","0","","11.6683169252"
"2024-07-19","6.1887098874","3.1018833094","2.3293349737","0.01","0.021","0.001512","0.0024021395","0.00011","0.0000019724","0.0000015333","","0","0","0","0","","11.6549558157"
"2024-07-20","6.1700592199","3.1018270686","2.3337173348","0.01","0.014","0.00147","0.0018070455","0.00009","0.0000014793","0.0000017829","","0","0","0","0","","11.632973931"
"2024-07-21","6.1452177262","3.1017905981","2.3336498603","0.01","0.0133","0.001512","0.0012969659","0.000065","0.0000014793","0.0000017948","","0","0","0","0","","11.6068354246"
"2024-07-22","6.2237417836","3.1021734233","2.3303100775","0.01","0.0119","0.001512","0.0013819785","0.00007","0.0000019724","0.0000015333","","0","0","0","0","","11.6810927686"
"2024-07-23","6.2086067346","3.1024571985","2.3379235789","0.01","0.0245","0.001512","0.0029122197","0.00016","0.0000014793","0.0000020444","","0","0","0","0","","11.6880752554"
"2024-07-24","6.1875005309","3.1021793279","2.3300966954","0.01","0.0245","0.001218","0.0028326186","0.000135","0.0000019724","0.0000020444","","0","0","0","0","","11.6584661896"
"2024-07-25","6.2038041783","3.1022464097","2.32653321","0.01","0.0203","0.001512","0.0023871313","0.00013","0.0000019724","0.0000017948","","0","0","0","0","","11.6669166965"
"2024-07-26","6.2132696039","3.1025492067","2.3282234192","0.01","0.0196","0.001386","0.0022020857","0.00012","0.0000014793","0.0000017829","","0","0","0","0","","11.6773535777"
"2024-07-27","6.147856254","3.1021001383","2.3394320054","0.01","0.0182","0.001092","0.0023121228","0.00012","0.0000019724","0.0000020444","","0","0","0","0","","11.6211165373"
"2024-07-28","6.134276671","3.1019634788","2.3319208937","0.01","0.0175","0.001218","0.0019820212","0.000095","0.0000014793","0.0000017948","","0","0","0","0","","11.5989593388"
