"Service","EC2-Instances($)","EC2-Other($)","Relational Database Service($)","ElastiCache($)","DocumentDB (with MongoDB compatibility)($)","Elastic Container Service for Kubernetes($)","S3($)","VPC($)","Elastic Load Balancing($)","CloudWatch($)","Elastic MapReduce($)","Elastic File System($)","EC2 Container Registry (ECR)($)","Secrets Manager($)","Transfer Family($)","Route 53($)","DynamoDB($)","Backup($)","WAF($)","Key Management Service($)","Elastic Container Service($)","Cost Explorer($)","Service Catalog($)","SNS($)","Athena($)","SES($)","Lambda($)","Simple Workflow Service($)","Step Functions($)","CloudShell($)","CloudTrail($)","Glue($)","SQS($)","CloudFormation($)","X-Ray($)","Total costs($)"
"2024-05-06","285.1453044356","146.686404885","124.3250842502","55.944","43.092","31.2","21.748750253","25.7511206602","17.729327014","2.5008652368","7.2576","4.2367479024","1.8413508209","1.1196724184","7.2","0.7271132","0.74592","0.6596493102","0.5876333064","0.202356384","","0.58","0","0.0001552177","","0.0000082324","0.0000158635","0.0000020105","0.0000010336","","0","0","0","","","779.2810824348"
"2024-05-07","281.9371578767","149.8754126866","127.7516535114","55.944","43.092","31.2","21.8592340685","25.7976609767","19.0535057374","3.7808369066","7.2576","4.2367479024","1.8415457044","1.1201724184","7.2","0.7263884","0.74592","0.6596493102","0.5748821064","0.202029384","","0.14","0","0.0001497378","","0.0000061668","0.0000128015","0.000002014","0.0000010352","","0","0","0","","","784.996568745"
"2024-05-08","283.4884366173","147.3704924822","127.4397129065","55.944","43.092","31.2","21.8058605602","25.6924229497","19.788017023","3.8968962983","7.2576","4.2367479024","1.841455755","1.0746608593","7.2","0.7105228","0.74592","0.6596493102","0.5562407064","0.201792384","","0.18","0","0.0001196128","","0.000006384","0.0000160795","0.0000015266","0.0000007856","","0","0","0","","","784.382572943"
"2024-05-09","287.8851293446","150.1644182033","132.3927106515","55.944","43.092","31.2","22.009291533","25.7127303758","23.2458621036","3.9301311528","7.2576","4.2367479024","1.8414240096","1.1218174184","7.2","0.7727152","0.74592","0.6596493102","0.5877059064","0.202041384","","0.14","0","0.0001303567","","0.0000059098","0.000013204","0.000002016","0.0000010368","","0","0","0","","","800.3420470189"
"2024-05-10","289.7358633241","149.3967673598","128.0033178468","55.944","34.4462512433","31.2","21.8369805707","25.7345509841","21.2965530523","3.8842791152","7.2576","4.2367479024","1.841374585","1.1210174184","7.2","0.7106128","0.74592","0.6596493102","0.5584811064","0.203598384","","0.14","0","0.0001327332","","0.0000103818","0.0000160935","0.0000020141","0.00000104","","0","0","0","","","786.1537272653"
"2024-05-11","285.9904875714","148.6079253972","126.6947027355","55.944","21.546","31.2","21.7591214162","25.5665668421","21.178630391","3.7842886555","7.2576","4.2367479024","1.8413564952","1.0734558593","7.2","0.6757468","0.74592","0.6596493102","0.5728571064","0.201549384","","0.13","0","0.0000879904","","0.0000056216","0.0000138736","0.0000015302","0.0000010432","","0","0","0","","","766.8667159254"
"2024-05-12","287.3289298215","149.7935832064","122.7751486442","55.944","21.546","31.2","21.7972371725","25.5645914293","21.3073993587","3.837148456","7.2576","4.2367479024","1.8413564952","1.1209774184","7.2","0.632748","0.74592","0.6596493102","0.6710225064","0.201774384","","0.13","0","0.0000887622","","0.0000002155","0.0000146236","0.0000020104","0.0000007872","","0","0","0","","","765.7919405041"
"2024-05-13","293.3010820626","149.1990891623","126.5720084656","55.944","22.1577151796","31.2","21.7973544026","25.6978036203","21.2137465123","3.9383547638","7.2576","4.2367479024","1.8434015332","1.1187724184","7.2","0.6838924","0.74592","0.6596493102","0.5766227064","0.203841384","","0.58","0","0.0001157274","","0.0000064942","0.0000151184","0.0000015156","0.000001032","","0","0","0","","","776.1277417113"
"2024-05-14","289.6399333169","150.7621730881","128.5406836976","55.944","21.546","31.2","22.0404312445","25.6886935456","21.6629631245","3.9410374839","7.2576","4.2367479024","1.8469277413","1.1211874184","7.2","0.694124","0.74592","0.6596493102","0.5424527064","0.201897384","","0.14","0","0.0001378372","","0.0000002155","0.0000146545","0.0000020122","0.0000010352","","0","0","0","","","775.6125777184"
"2024-05-15","280.9835063818","148.9774867999","233.5161550468","55.944","21.546","31.2","21.9885978783","25.7078254829","21.8853781246","3.9418394899","7.2576","4.2367479024","1.8479438469","1.0744358593","7.2","0.6656916","0.74592","0.6596493102","0.5610971064","0.202266384","","0.18","0","0.0001468799","","0.000006975","0.0000139884","0.0000020176","0.0000007904","","0","0","0","","","870.3223118647"
"2024-05-16","280.1830367389","151.0488828959","258.7030230393","55.944","21.546","31.2","21.9657916075","25.8027747399","23.1409530783","4.0497798746","7.2576","4.2367479024","1.8477108802","1.1199174184","7.2","0.6899148","1.18992","0.6596493102","0.5691395064","0.203355384","","0.14","0","0.0001498841","","0.0000053431","0.0000165258","0.0000015173","0.00000104","","0","0","0","","","898.6983714863"
"2024-05-17","282.0331430463","150.3284425167","160.0141202579","55.944","21.5649512126","31.2","21.9067609647","25.8800524967","21.6239434507","4.1013318668","7.2576","4.2367479024","1.847772481","1.1214374184","7.2","0.6613144","1.63392","0.6596493102","0.5372483064","0.203625384","","0.14","0","0.0001365614","","0.0000164234","0.000012384","0.0000020067","0.0000007872","","0","0","0","","","800.0962291775"
"2024-05-18","279.524684294","146.6039384772","122.3840408141","55.944","21.6023965763","31.2","21.6949630171","25.5664314753","22.6675714349","3.8753914806","7.2576","4.2367479024","1.8477757008","1.1210674184","7.2","0.6468912","1.63392","0.6596493102","0.5751689064","0.203349384","","0.11","0","0.0001014145","","0.0000087589","0.0000161196","0.000002014","0.0000010384","","0","0","0","","","756.5557167371"
"2024-05-19","281.9849634836","146.6326975001","126.233034622","55.944","21.6021821112","31.2","21.7338463917","25.565108359","20.7301834181","3.9253007376","7.2576","4.2367479024","1.8477757008","1.1196924184","7.2","0.5706972","1.63392","0.6596493102","0.5403683064","0.203577384","","0.11","0","0.0000944701","","0.0000002157","0.000013056","0.0000015189","0.0000010336","","0","0","0","","","760.9314551398"
"2024-05-20","290.4969699055","146.0480151568","125.0572090395","55.944","21.6025837879","31.2","21.7653805853","25.7640381845","21.177765913","4.8055239907","7.2576","4.2367479024","1.847689578","1.1486012368","7.2","0.6865904","1.63392","0.6596493102","0.5812883064","0.203514384","","0.13","0","0.0001498553","","0.0000083411","0.0000172178","0.0000020195","0.0000007888","","0","0","0","","","769.4472659035"
"2024-05-21","295.3829079861","145.3049302041","126.1437683589","55.944","21.6029143195","31.2","21.8120932794","25.7934831506","20.2681991507","4.5188012277","7.2576","4.2367479024","1.8477795451","1.2619220976","7.2","0.6519284","1.63392","0.6596493102","0.5286179064","0.203961384","","0.12","0","0.0001485126","","0.0000056108","0.000012623","0.0000020139","0.0000010368","","0","0","0","","","773.5733940198"
"2024-05-22","298.5115066587","146.3203704524","126.689002966","55.944","21.6067146056","31.2","21.9253358289","25.7657358131","21.3680415279","6.2345019439","7.2576","4.2367479024","1.8476207474","1.9252676352","7.2","0.6459128","1.63392","0.6596493102","0.5541023064","0.203439384","","0.16","0","0.0002290596","","","0.0000161047","0.0000020102","0.0000010368","","0","0","0","","","781.8897180934"
"2024-05-23","297.7959413413","157.7626987538","245.6204740456","55.944","21.6104231934","31.2","21.9670819923","25.8229620156","20.8346797037","5.0783606669","7.2576","4.2367479024","1.8474926565","1.9668470976","7.2","0.6544068","1.63392","0.6596493102","0.5241677064","0.203655384","","0.12","0","0.0002191409","","","0.0000132148","0.0000015189","0.0000007824","","0","0","0","","","909.9413432267"
"2024-05-24","300.3675416732","178.0840374642","308.8924285735","55.944","21.6058526929","31.2","21.9310399027","25.7431905018","20.4645399041","5.1692620487","7.2576","4.2367479024","1.8473027459","1.9264420976","7.2","0.671654","1.63392","0.6596493102","0.5824667064","0.201999384","","0.12","0","0.0001739936","","","0.0000158229","0.0000020103","0.0000010336","","0","0","0","","","995.739867768"
"2024-05-25","295.8932866126","158.9836604206","201.8552455263","55.944","21.60294156","31.2","21.6966358917","25.5849351166","21.9460176249","5.2715948796","7.2576","4.2367479024","1.847175672","1.9524720976","7.2","0.6202968","1.63392","0.6596493102","0.5253263064","0.202230384","","0.11","0","0.0000941898","","","0.0000133647","0.0000015228","0.0000010352","","0","0","0","","","866.2238462174"
"2024-05-26","296.0727254474","159.877644557","121.1391405937","55.944","21.6028661673","31.2","21.6905796723","25.6188552365","20.3932559585","5.3754672625","7.2576","4.2367479024","1.847175672","1.9403370976","7.2","0.5656488","1.63392","0.6596493102","0.5095661064","0.203352384","","0.08","0","0.0000937235","","","0.000015297","0.0000020085","0.0000010336","","0","0","0","","","785.0486442304"
"2024-05-27","305.744959543","163.0239759503","126.4660786524","55.944","21.6057497471","31.2","21.7657117165","25.8490911437","22.4282835975","5.0234960222","7.2576","4.2367479024","1.8471354194","2.0305020976","7.2","0.6428472","1.63392","0.6596493102","0.5669909064","0.202008384","","0.11","0","0.0001343688","","","0.0000107699","0.0000015136","0.000000784","","0","0","0","","","805.438895029"
"2024-05-28","311.7064815842","175.7752105395","129.5749638794","55.944","21.6053310819","31.2","21.7430346412","26.0112104912","20.3859041583","4.955046751","7.2576","4.2367479024","1.8469674013","2.0421920976","7.2","0.689826","1.63392","0.6596493102","0.5282573064","0.202068384","","0.06","0","0.0001205597","","0.0000018496","0.0000179068","0.0000020195","0.0000010368","","0","0","0","","","825.258554901"
"2024-05-29","314.8487250603","174.078121108","127.6360168651","55.944","21.6049212767","31.2","21.8293139372","25.9219163417","20.0693267451","5.4557477011","7.2576","4.2367479024","1.847009708","2.0269470976","7.2000043901","0.707116","1.63392","0.6596493102","0.5501675064","0.201807384","","0.16","0","0.000153112","","0.0000076227","0.0000115701","0.0000020141","0.0000010304","","0","0","0","","","825.0692336832"
"2024-05-30","323.388766911","153.5473533954","124.5362634532","55.944","21.6069111278","31.2","21.9268193339","25.8187957517","20.8111659692","4.9514277386","7.2576","4.2367479024","1.8485510823","2.2570570976","7.2000100345","0.7287352","1.63392","0.6596493102","0.5304509064","0.203841384","","0.05","0","0.0001793364","","0.0000084556","0.0000164217","0.0000020103","0.0000010384","","0","0","0","","","810.3382738606"
"2024-05-31","329.2119641337","156.4773736211","124.086505222","55.944","21.6029415489","31.2","21.9567558662","25.8185991486","20.2846425555","5.1471216832","7.2576","4.2367479024","1.8510669219","2.0816670976","7.2","0.7327184","1.63392","0.6596493102","0.5439605064","0.203562384","","0.11","0","0.0001597642","","0.0000118352","0.0000126239","0.0000015172","0.000000784","","0","0","0","","","818.2409828262"
"2024-06-01","324.8812623683","153.5431897071","123.9104776851","55.944","21.604479711","31.2","22.5296703988","23.5614375164","18.3462617207","1.410697906","7.2576","2.7279728328","1.8626726591","2.0500416656","7.2","7.2036328","0.0000244366","0.6816376205","0.5463150672","0.2042840016","","0.11","0","0.0001082775","","0.0000156663","0.0000151114","0.0000020123","0.0000010352","","0","0","0","","","806.7758001995"
"2024-06-02","326.5947997986","158.3212188918","123.9014021973","55.944","21.6031783357","31.2","22.5299332766","24.0959317336","17.8526577236","3.5213044247","7.2576","4.3779728328","1.9126577568","1.9877066656","7.2","0.9240224","0","0.6816376205","0.5938566672","0.2041820016","","0.11","0","0.0001174077","","0.0000002156","0.0000162949","0.0000020139","0.0000007824","","0","0","0","","","810.8141990409"
"2024-06-03","326.9885946696","162.4253218132","132.6182981021","55.944","21.6033305808","31.2","22.9147884384","26.017095163","19.8665999192","3.5818354391","7.2576","4.3779728328","1.9126767982","2.0319516656","7.2000997175","0.73791","0","0.6816376205","0.5699244672","0.2034680016","","0.11","0","0.0001773962","","0.0000028671","0.0000126188","0.0000020088","0.0000010336","","0","0","0","","","828.2433011533"
"2024-06-04","319.0564423887","153.9707406158","125.5991570716","55.944","21.6033607108","31.2","22.4530104267","25.9336294127","17.1516080092","3.6531003599","7.2576","4.3779728328","1.9136177156","2.0215116656","7.2000229273","0.6833464","0.23088","0.6816376205","0.5245626672","0.2055140016","","0.12","0","0.0002311519","","0.0000002156","0.0000158013","0.0000015117","0.0000010304","","0","0","0","","","801.7819645369"
