"Service","EC2-Other($)","EC2-Instances($)","VPC($)","Elastic Container Service for Kubernetes($)","Elastic Load Balancing($)","CloudWatch($)","Secrets Manager($)","Cost Explorer($)","Service Catalog($)","EC2 Container Registry (ECR)($)","Route 53($)","S3($)","Key Management Service($)","SQS($)","SNS($)","Step Functions($)","Glacier($)","Simple Workflow Service($)","DynamoDB($)","CloudShell($)","CloudTrail($)","Glue($)","CloudFormation($)","Total costs($)"
"2024-06-18","15.082439709","8.4714470545","5.4003872085","2.4","1.832324818","1.8693241144","0.0766666659","0.04","","0.0146179728","","0.0009261535","0.002244","","","","0.0000028465","","0.0000000528","","0","","","35.1903805959"
"2024-06-19","15.0853231221","8.4822924083","5.4007211975","2.4","1.8309734021","1.8714339139","0.0799999992","0.04","0","0.0146179728","","0.0009210853","0.00165","","0","","0.0000026546","","0.0000000528","","0","0","","35.2079358086"
"2024-06-20","15.0851956983","8.4554658683","5.4005341389","2.4","1.8323477303","1.8745712532","0.0799999992","","","0.0146179728","","0.0008896627","0.001518","","","","0.0000026402","","0.0000000528","","0","","","35.1451430167"
"2024-06-21","15.0901706773","8.4420318454","5.4007065752","2.4","1.8314262306","1.8675030875","0.0802399992","0.06","0","0.0146179728","","0.0010911121","0.00165","0.0000096","0","0.00000003","0.0000026553","0.0000000522","0.0000000528","","0","0","","35.1894498904"
"2024-06-22","15.0898180965","8.3983925025","5.4005060489","2.4","1.8342129886","1.8698840324","0.0799999992","0.05","","0.0146179728","","0.0010060987","0.00165","0.0000048","","0.000000015","0.0000025587","0.0000000522","0.0000000528","","0","0","","35.1400952183"
"2024-06-23","15.0902530881","8.4151963331","5.4005100859","2.4","1.8337594259","1.8727792086","0.0809199992","0.1","0","0.0146179728","","0.0015183096","0.001848","0.0000432","0","0.00000012","0.0000025473","0.0000001827","0.0000000528","","0","0","","35.211448526"
"2024-06-24","15.0919867966","8.4286332862","5.4007499341","2.4","1.8316051095","1.8718488081","0.0832199992","0.05","0.0021","0.0146179728","","0.0032164471","0.002178","0.0001344","0","0.000000402","0.000002616","0.0000007047","0.0000000528","","0","0","","35.1802945291"
"2024-06-25","15.1967199822","8.4156355272","5.4015719679","2.4","1.8319255241","1.8710069904","0.0835649992","0.05","0.0021","0.0147348571","","0.0041065007","0.002178","0.000096","0","0.000000458","0.0000027789","0.0000008352","0.0000000528","","0","0","","35.2736444737"
"2024-06-26","15.1338723641","8.4421220553","5.4006748398","2.4","1.8307078538","1.8719279103","0.0836799992","0.05","0.0021","0.014980436","","0.0039788094","0.00231","0.0001488","0","0.000000399","0.0000027236","0.0000008091","0.0000000528","","0","0","","35.2365070524"
"2024-06-27","15.0934827366","8.4152826508","5.4004819757","2.4","1.8295473292","1.8680662757","0.0826449992","0.04","0.0021","0.015235272","","0.0036010174","0.002508","0.0001152","0","0.000000356","0.0000026613","0.0000006264","0.0000000528","","0","0","","35.1530691531"
