"Service","EC2-Instances($)","EC2-Other($)","VPC($)","CloudWatch($)","ElastiCache($)","OpenSearch Service($)","Elastic Load Balancing($)","S3($)","Secrets Manager($)","Elastic Container Service for Kubernetes($)","DynamoDB($)","EC2 Container Registry (ECR)($)","Key Management Service($)","Cost Explorer($)","Route 53($)","Service Catalog($)","Lambda($)","SNS($)","SQS($)","Simple Workflow Service($)","Step Functions($)","CloudTrail($)","Glue($)","CloudFormation($)","Total costs($)"
"2024-11-26","16.0076193694","9.1300125456","13.1802653518","9.4477116322","1.9681537864","","1.7286236335","1.3184903888","0.6165383341","","0.000000068","0.1342999872","0.0384303336","0.01","","0.0042","","0.000048","0.0000044","0.0000014349","0.0000017542","0","0","","53.5844010197"
"2024-11-27","13.5776170293","9.122552707","13.1801980061","9.0336416322","1.96815471","","1.7285534962","1.3928723807","0.6429600008","","0.000000068","0.1342999872","0.0385023336","0.01","","0.0042","","0.0000535","0.0000044","0.0000019128","0.0000017591","0","0","","50.833613923"
"2024-11-28","12.6648049216","9.1267810705","13.1948046166","9.0336416322","1.9681551084","","1.7285974785","1.2420050684","0.6429600008","","0.000000068","0.1342999872","0.0384303336","0.01","","0.0042","","0.0000515","0.0000044","0.0000019128","0.0000017542","0","0","","49.7887398528"
"2024-11-29","12.664798099","9.1344412451","13.3001927508","9.0336416322","1.9681552994","","1.7289747179","1.3170733982","0.6429600008","","0.000000068","0.1342999872","0.0385743336","","","0.0035","","0.000055","0.0000044","0.0000019128","0.0000017591","0","0","","49.9666746041"
"2024-11-30","12.664804315","9.1316216849","13.3001777666","9.0336416322","1.9681555318","","1.7283519248","1.3457277989","0.6427150008","","0.000000068","0.1342999872","0.0384303336","0.01","","0.0028","","0.00005","0.0000032","0.0000014349","0.0000020076","0","0","","50.0007826863"
"2024-12-01","12.5729819153","8.8731987666","13.3001780972","9.0267477087","1.968150696","","1.7274464364","1.1556507408","0.6225598384","","0","0.1299677304","0.034919064","0.01","0.2","0","","0","0.0000044","0.0000019128","0.0000015057","0","0","","49.6218088123"
"2024-12-02","12.664806929","8.907436863","13.3001864048","9.0265177087","1.9681504764","","1.7299356585","1.0525759459","0.6223148384","","0.0000000701","0.1299677304","0.037427064","0.01","","0","","0","0.0000044","0.0000014349","0.0000020071","0","0","","49.4493275312"
"2024-12-03","12.6648138086","8.9188905678","13.3001942019","8.9000696712","1.96815077","","1.729244131","1.5083433274","0.6223148384","","0.0000000701","0.1299677304","0.037355064","0.01","","0","0.0000010334","0.0000005522","0.0000044","0.0000019128","0.0000015052","0","0","","49.7893535844"
"2024-12-04","12.6647974101","8.9112588548","13.2867771175","8.5945181036","1.9681518802","","1.7294865057","1.4069033329","0.6225598384","","0.0000000701","0.1299677304","0.037499064","0.01","","0","0.0000002063","0.0000001102","0.000004","0.0000014349","0.0000017591","0","0","","49.3619274182"
"2024-12-05","12.664781885","8.9184131701","13.1801279256","8.5948877116","1.9681525566","","1.7287396516","1.3916760273","0.5965083868","","0.0000000714","0.1299677304","0.037427064","","","0","","0","0.0000044","0.0000019128","0.0000017542","0","0","","49.2106902474"
"2024-12-06","12.7904237933","8.9234441901","13.1800570899","8.5945177116","1.968152932","","1.7292385602","1.3514416359","0.6223148384","","0.0000000701","0.1299677304","0.037355064","0.01","","0","","0","0.0000044","0.0000014349","0.0000017586","0","0","","49.3369212094"
"2024-12-07","12.790381462","8.9143108075","13.1798932508","8.5945181041","1.9681532274","","1.7275971347","1.4433504447","0.6218248384","","0.0000000714","0.1299677304","0.037355064","0.01","","0","0.0000002146","0.0000001102","0.000004","0.0000019128","0.0000015057","0","0","","49.4173598787"
"2024-12-08","12.664785416","8.9009966037","13.1798959212","8.5945177121","1.9681533584","","1.7262544268","1.3161757903","0.6220698384","","0.0000000701","0.1299677304","0.037355064","0.01","","0","","0","0.0000044","0.0000014349","0.0000015057","0","0","","49.150179272"
"2024-12-09","12.664806939","8.9535055543","13.1799025717","8.9347477121","1.968153175","","1.7307395276","0.4445541929","0.6242748384","","0.0000000701","0.1299677304","0.038003064","0.01","","0","","0.0000815","0.0000076","0.0000019128","0.0000020071","0","0","","48.6787483954"
"2024-12-10","12.6648143674","8.9590148212","13.1799116459","9.1993177121","1.9681537966","","1.7292984283","2.2610334224","0.6247648384","","0.0000000714","0.1299677304","0.038075064","0.01","","0.0049","","0.0001","0.0000056","0.0000014349","0.0000020076","0","0","","50.7693609406"
"2024-12-11","12.6648203841","8.9628184293","13.1799166432","9.1993177121","1.9681552068","","1.7301934306","1.4523883452","0.6228048384","","0.0000000701","0.1299677304","0.035783064","","","0.0028","","0.0000615","0.0000056","0.0000014349","0.0000015047","0","0","","49.9490358938"
"2024-12-12","12.6408959224","8.978086848","13.1799459009","9.1993192821","1.9681559302","","1.728796755","1.4283339441","0.6225598384","","0.0000000701","0.1299677304","0.034979064","0.01","","0.0035","0.0000008208","0.0000624419","0.0000044","0.0000019128","0.0000020076","0","0","","49.9246128687"
