"Service","EC2-Instances($)","EC2-Other($)","Elastic MapReduce($)","ElastiCache($)","Relational Database Service($)","S3($)","CloudWatch($)","VPC($)","Elastic Load Balancing($)","Route 53($)","Elastic Container Service for Kubernetes($)","DynamoDB($)","EC2 Container Registry (ECR)($)","Key Management Service($)","Secrets Manager($)","Cost Explorer($)","Service Catalog($)","SQS($)","Lambda($)","SNS($)","Simple Workflow Service($)","Step Functions($)","Systems Manager($)","CodeArtifact($)","CloudShell($)","CloudTrail($)","Glue($)","X-Ray($)","CloudFormation($)","Total costs($)"
"2024-05-08","1324.972776467","765.7704296013","255.8976","40.5466960157","56.359376524","1.4721035394","10.2649305335","9.3723373609","6.31523964","9.9042284","4.8","0.6393601386","0.3920761581","0.301161576","0.1511720967","0.01","0","0.0000264","0.0000060625","0","0.0000019128","0.0000010136","","0","","0","0","","","2487.1695234401"
"2024-05-09","1324.9747769711","767.4886940754","255.8976","40.5494391991","56.2507256674","1.4946508216","10.4247591905","9.3740536436","6.7869259662","9.90328","4.8","0.6393601392","0.3928566441","0.300948576","0.1583937096","0.01","0","0.00003","0.0000060792","0","0.0000014349","0.0000007602","","0","","0","0","","","2489.4465028781"
"2024-05-10","1324.9792123795","770.8543078297","255.8976","40.5540257252","56.2371868514","1.5353372196","10.5085080403","9.3689252383","6.5996701738","9.8993510138","4.8","0.6393601414","0.3935362775","0.300924576","0.1591637096","0.01","0","0.0000312","0.0000061","0","0.0000019128","0.0000010136","","0","","0","0","","","2492.7371494025"
"2024-05-11","1325.2107130633","757.9502871918","255.8976","40.5567377716","56.1896185197","1.5598504925","10.1786153518","9.3626734343","6.270913901","9.8959340063","4.8","0.6393601397","0.3939075515","0.300900576","0.1509520967","0.01","0","0.0000336","0.0000059584","0","0.0000019128","0.0000010136","","0","","0","0","","","2479.368106581"
"2024-05-12","1324.9758809691","760.151155217","255.8976","40.5567785966","56.1896185294","1.5923530888","10.4171844762","9.362223091","6.21184931","9.8967228","4.8","0.6393601405","0.3940443456","0.300900576","0.1592637096","0.01","0","0.0000288","0.0000059041","0","0.0000014349","0.0000007602","","0","","0","0","","","2481.554971749"
"2024-05-13","1325.2099011703","754.8675978319","255.8976","40.5565146912","56.1896185229","1.6395780654","10.785486221","9.3887947578","6.5019515477","9.899376","4.8","0.63936014","0.3943749407","0.300912576","0.1507870967","0.01","0","0.0000264","0.000006025","0","0.0000019128","0.0000010136","","0","","0","0","","","2477.231888913"
"2024-05-14","1324.9740525598","877.0193345518","255.8976","40.5565146912","56.1896185358","5.7023565758","10.5217710611","9.4215050165","7.481340231","9.9046096","4.8","0.6393601397","0.3954323204","0.300906576","0.1576887096","0.01","0","0.0000264","0.0000058687","0","0.0000014349","0.0000007602","","0","","0","0","","","2603.9721250325"
"2024-05-15","1325.2103409369","867.9993767682","255.8976","40.5565368354","56.1896185338","8.5494765211","10.4760298089","9.376280389","7.451748336","9.9051208","4.8","0.6393601405","0.3968698362","0.301320576","0.1511570967","0.01","0","0.0000276","0.0000057688","0","0.0000019128","0.0000010136","0.000312","0","","0","0","","","2597.9111848739"
"2024-05-16","1325.2093622552","804.0957955803","255.8976","40.5567804216","56.1896185161","5.0594705045","10.4482840757","9.3746329232","7.3974466134","9.876918","4.8","0.6393601411","0.3982528827","0.301227576","0.1571637096","0.01","0","0.0000276","0.0000056666","0","0.0000019128","0.0000010136","","0","","0","0","","","2530.4119493924"
"2024-05-17","1325.2131324583","737.2110240654","255.8976","40.5567804216","56.1896185249","5.386821827","10.2240626007","11.1720179228","7.3892352641","9.8768608","4.8","0.6393601405","0.3996867221","0.301527576","0.1573287096","0.01","0","0.0000256","0.0000059083","0","0.0000019128","0.0000007602","","0","","0","0","","","2465.4250912143"
"2024-05-18","1331.7914568213","705.4572222142","255.8976","40.5568173886","56.1896185253","5.7402387644","10.0775482548","12.241072264","7.4843210082","9.8744316","4.8","0.6393601411","0.4009545434","0.300927576","0.1577437096","0.01","0","0.0000404","0.0000094516","0.0000404748","0.0000014349","0.0000010136","","0","","0","0","","","2441.6194055858"
"2024-05-19","1338.8514097199","706.7312666837","255.8976","40.5571786644","56.1896185261","5.9333527876","10.2489456387","12.2410661335","7.2740551083","9.8728916","4.8","0.63936014","0.4009545552","0.300927576","0.1590487096","0.01","0","0.000024","0.0000059","0","0.0000019128","0.0000010136","","0","","0","0","","","2450.1077086694"
"2024-05-20","1369.033035716","721.7498368105","255.8976","40.5566760026","56.1896185269","6.2842985598","10.4449020243","12.2689201704","7.3250717836","9.8783352","4.8","0.6393601406","0.4012218075","0.301026576","0.1592087096","0.01","0","0.0000388","0.0000058334","0","0.0000019128","0.0000007602","","0","","0","0","","","2495.9391593342"
