"Service","EC2-Instances($)","EC2-Other($)","Elastic Load Balancing($)","VPC($)","Network Firewall($)","Elastic Container Service for Kubernetes($)","CloudWatch($)","S3($)","Lambda($)","Secrets Manager($)","EC2 Container Registry (ECR)($)","Route 53($)","Cost Explorer($)","DynamoDB($)","Service Catalog($)","Key Management Service($)","SQS($)","SNS($)","Simple Workflow Service($)","Step Functions($)","Athena($)","Elastic File System($)","CloudTrail($)","Glue($)","CloudFormation($)","Total costs($)"
"2025-01-22","136.4331686774","70.9749617366","14.694843377","9.0489168743","9.7339286097","4.8","2.5316003323","0.8386056161","0.0000047984","0.2259001608","0.2114564869","0.0097892","0.05","0.0213121176","0.0084","0.002412","0.00174","0.0000410921","0.0000014413","0.0000015311","","0.00000006","0","0","","249.5870841116"
"2025-01-23","148.1864517544","71.5070008673","14.6971191926","8.9961242144","9.4962588379","4.8","2.6279835311","0.8364612268","","0.2246501608","0.2171944224","0.008238","0.06","0.0213121176","0.0084","0.002385","0.001742","0.0000135","0.0000014413","0.0000015327","","0.00000006","0","0","","261.6913378593"
"2025-01-24","148.2601919648","71.3773960543","14.6860608454","9.0795247264","9.5445487072","4.8","2.6273685564","0.8388815041","","0.2246101608","0.2171944224","0.0081028","0.08","0.0213121176","0.0098","0.00285","0.0017436","0.0000165","0.0000019232","0.0000017872","","0.00000006","0","0","","261.7796057298"
"2025-01-25","147.5403774947","71.3399327312","14.6672396071","8.9288583411","9.5221476738","4.8","2.6208836682","0.8410681288","","0.2245851608","0.2171944224","0.0069232","0.09","0.0213121176","0.0098","0.002922","0.0017436","0.000015","0.0000014421","0.0000015361","","0.00000006","0","0","","260.8350061839"
"2025-01-26","147.4782105312","71.3739185821","14.6807286069","8.9296976923","9.5212275206","4.8","2.1623097624","0.8441047051","","0.2245351608","0.2171944224","0.0070564","0.11","0.0213121176","0.0098","0.002922","0.0017416","0.000015","0.0000019232","0.0000015385","","0.00000006","0","0","","260.3847776231"
"2025-01-27","142.2678314338","70.7869406315","14.6992603974","8.9297256323","9.5255802112","4.8","2.0276940885","0.8456659413","","0.2250701608","0.2171944224","0.0083436","0.09","0.0213121176","0.0098","0.002922","0.0017452","0.0000195","0.0000014429","0.0000020461","","0.00000006","0","0","","254.4591088858"
"2025-01-28","137.5966817675","70.0359825635","14.7030651721","8.9575721892","9.5158478538","4.8","1.9828029882","0.8460460625","","0.2247701608","0.2192331402","0.0083768","0.15","0.0213121176","0.0098","0.002922","0.0017436","0.000015","0.0000019224","0.0000017888","","0.00000006","0","0","","249.0761751866"
"2025-01-29","130.5010056706","69.4811910043","14.6952411519","9.1131964566","9.6833955685","4.8","1.9567858584","0.8532962937","","0.2246901608","0.221372352","0.0085932","0.09","0.0213121176","0.0098","0.002718","0.0017436","0.0000195336","0.0000014445","0.000001787","","0.00000006","0","0","","241.6643642595"
"2025-01-30","130.8897519123","69.3049208909","14.6770197129","9.0488649531","9.8804254117","4.8","1.950940215","0.8531530964","","0.2245301608","0.221372352","0.0080336","0.1","0.0213121176","0.0084","0.00285","0.0017416","0.0000135066","0.0000019208","0.0000015336","","0.00000006","0","0","","241.9933330437"
"2025-01-31","130.4503276015","68.6754032205","14.678216908","8.9382912664","9.5381770972","4.8","1.9489489026","0.855791534","0.0000015617","0.2247351608","0.221372352","0.0077768","0.09","0.0213121176","0.0084","0.00285","0.0017436","0.0000156047","0.0000014421","0.0000017846","","0.00000006","0","0","","240.4633670137"
"2025-02-01","130.0757113792","74.7580106832","14.6738499174","8.8239945927","9.5335330323","4.8","1.3821502761","0.9449494577","0.0000015817","0.2439399992","0.2450908176","2.1069532","0.09","0.0213121296","0","0.000471","0.0017436","0.0000001058","0.0000014437","0.0000017877","","0.0000000672","0","0","","247.7017150711"
"2025-02-02","129.3699897396","74.6506674297","14.6482015915","9.0585157356","9.5326094563","4.8","2.4302992342","0.9477002486","","0.2439749992","0.2450908176","0.0069052","0.11","0.0213121296","0","0.002889","0.0017436","0","0.0000014437","0.0000015357","","0.0000000672","0","0","","246.0699022285"
"2025-02-03","135.2681355007","75.0441868698","14.6718225663","9.1688651958","9.5367098255","4.8","2.4318143737","0.9541775073","0.0000015817","0.2439099992","0.2450908176","0.0084332","0.09","0.0213121349","0","0.002784","0.0017648467","0.0000001051","0.0000019216","0.0000015352","","0.0000000672","0","0","","252.4890120483"
"2025-02-04","139.0446311603","75.3193500059","14.6788797486","9.169699662","9.5515897177","4.8","2.4325643328","0.9539219525","","0.2440749992","0.2450908176","0.0090032","0.09","0.0213121368","0","0.002679","0.002740866","0.0000000627","0.0000014421","0.0000017802","","0.0000000672","0","0","","256.5655409516"
"2025-02-05","139.1351080934","75.1174091337","14.6826465183","9.0928961813","9.5120711023","4.8","2.4336842136","0.9560961695","","0.2439949992","0.2450908176","0.0080072","0.09","0.0213121368","0","0.002823","0.0034768351","0","0.0000014445","0.0000015357","","0.0000000672","0","0","","256.3446194482"
"2025-02-06","139.5140042771","75.2167696264","14.6904507426","9.1681940646","9.5554790531","4.8","2.4351322308","0.9582917101","","0.2439699992","0.2450908176","0.0077784","0.11","0.0213121368","0","0.002883","0.0034816429","0","0.0000019192","0.0000017888","","0.0000000672","0","0","","256.9728414764"
"2025-02-07","139.961215245","75.1560867008","14.6654092898","9.2083737412","9.5356076089","4.8","2.4357442559","0.9606479983","","0.2441849992","0.2450908176","0.0081956","0.09","0.0213121368","0","0.002901","0.003478839","0","0.0000014437","0.0000017958","","0.0000000672","0","0","","257.3382515392"
"2025-02-08","139.1672785398","75.1383922322","14.6738788621","9.1688632791","9.5145804961","4.8","2.4378347365","0.9616208892","","0.2438799992","0.2450908176","0.0074892","0.13","0.0213121368","0","0.00285","0.003478839","0","0.0000014437","0.000001537","","0.0000000672","0","0","","256.5165530755"
"2025-02-09","139.273864737","75.1284409381","14.6590695413","9.168864017","9.5336341711","4.8","2.4361085575","0.9648898703","","0.2440499992","0.2450908176","0.0072256","0.09","0.0213121368","0.0042","0.002889","0.0034792389","0.000018","0.0000014421","0.0000017875","","0.0000000672","0","0","","256.5831399216"
"2025-02-10","142.1644452813","75.4943140639","14.6826794114","9.2608928114","9.566913016","4.8","2.433562819","0.9687902287","","0.236306904","0.2450908176","0.008274","0.09","0.0213121368","0.0042","0.002955","0.0034864505","0.0000165","0.0000019224","0.00000179","","0.0000000672","0","0","","259.9832432202"
"2025-02-11","141.6546973747","76.0918526337","14.6938092391","9.3674134098","9.7865045514","4.8","2.4390903811","0.9704558465","","0.2440999992","0.2450908176","0.0077492","0.09","0.0213121368","0.0056","0.002928","0.003479239","0.000015","0.0000014429","0.0000017935","","0.0000000672","0","0","","260.4241011325"
