"Service","EC2-Other($)","EC2-Instances($)","VPC($)","Elastic Load Balancing($)","Directory Service($)","Elastic Container Service for Kubernetes($)","Key Management Service($)","EC2 Container Registry (ECR)($)","CloudWatch($)","DynamoDB($)","Secrets Manager($)","Elastic File System($)","S3($)","Backup($)","Relational Database Service($)","Cost Explorer($)","Route 53($)","Service Catalog($)","Systems Manager($)","Lambda($)","SNS($)","Athena($)","SQS($)","Direct Connect($)","Simple Workflow Service($)","Step Functions($)","CloudShell($)","CloudTrail($)","Glue($)","CloudFormation($)","CloudWatch Events($)","Total costs($)"
"2024-05-10","23.1116804223","40.5586232989","12.0330891467","6.9550433119","3.389119922","2.4","1.179500304","0.3019599144","0.5742395763","0.4739562352","0.4229932264","0.5631054636","0.0499909491","0.0821743341","0.150913812","0.05","","0","","0.0003921768","0.0000001005","","0.0000092","","0.0000019128","0.0000010136","","0","0","","","92.2967943206"
"2024-05-11","15.7089542909","33.3061934694","11.9585851874","6.9514453736","3.3631552305","2.4","1.179482304","0.3095003352","0.5742389192","0.4366146998","0.4001639253","0.5583657018","0.0313146388","0.0821743341","0.150913812","0.05","","0","","0.0003460425","0","","0.0000088","","0.0000019128","0.0000007602","","0","0","","","77.4614597375"
"2024-05-12","15.6397466757","33.2320121834","11.8608811694","6.9513195159","3.3617827251","2.4","1.179482304","0.3095003352","0.5742389352","0.4516122833","0.4170382264","0.558409838","0.0313495991","0.0821743341","0.150913812","0.05","","0","","0.0003792124","0","","0.0000096","","0.0000019128","0.0000010136","","0","0","","","77.2508536756"
"2024-05-13","21.6192063219","47.5202688103","11.8695646053","6.9626692136","3.3784815553","2.4","1.179920304","0.3170086511","0.5746796253","1.8480499699","0.4218932264","0.5596717396","0.055401343","0.0821743341","0.150913812","0.05","","0","","0.0004030612","0","","0.0000084","","0.0000014349","0.0000010136","","0","0","","","98.9903174215"
"2024-05-14","28.2915583251","43.2516546904","11.7511290434","6.9615857147","3.3733422915","2.4","1.179494304","0.3427373357","0.5742396423","0.5742153191","0.4241682264","0.5600717107","0.0562972703","0.0821743341","0.150913812","0.05","","0","","0.000384411","0.0000006068","","0.0000088","0.0000046998","0.0000019128","0.0000007602","","0","0","","","100.0239832103"
"2024-05-15","32.9270587686","48.0342582875","11.7381140011","6.9848912131","3.3674888139","2.4","1.179941304","0.3886466329","0.5742396595","0.7880049321","0.4036439253","0.5604466191","0.1880274162","0.0821743341","0.150913812","0.05","","0","","0.000384294","0","","0.0000092","0.0000039201","0.0000019128","0.0000010136","","0","0","","","109.8182500599"
"2024-05-16","30.4267513483","47.5626231233","11.8304588403","6.9593396961","3.2387119529","2.4","1.179518304","0.4418385889","0.5742433585","0.4846052951","0.4186982264","1.3514717202","0.0582768974","0.0821743341","0.150913812","0.05","","0","","0.0006422543","0.0000612336","","0.0000108","","0.0000014349","0.0000010136","","0","0","","","107.2103422339"
"2024-05-17","29.4112651046","45.6761616752","11.8717775517","6.9561198422","3.3756049446","2.4","1.179509304","0.4861386751","0.5742399546","0.722724302","0.4176032264","0.1341609881","0.1264042016","0.0821743341","0.150913812","0.05","","0","","0.0003995708","0.000001112","","0.0000092","","0.0000019128","0.0000007602","","0","0","","","103.615210472"
"2024-05-18","20.4392231158","36.8213635242","11.9262375268","6.9506111011","3.3349035805","2.4","1.179482304","0.4937794728","0.5742392978","0.5106598259","0.4001539253","0.1275826759","0.0384213321","0.0821743345","0.150913812","0.05","","0","","0.0003640734","0.000000047","","0.0000096","","0.0000019128","0.0000010136","","0","0","","","85.4801224755"
"2024-05-19","17.5432973049","33.957567044","12.078446912","6.9523549494","3.4510316749","2.4","1.179482304","0.4937794728","0.5742393141","0.4500153239","0.4168732264","0.1268797322","0.032661934","0.0821743345","0.150913812","0.05","","0","","0.0003769984","0","","0.0000088","","0.0000014349","0.0000010136","","0","0","","","79.940105586"
"2024-05-20","31.5488507005","40.2101503388","12.0837157046","6.9584217163","3.3044479028","2.4","1.176854304","0.496791301","0.5746807295","0.7235112069","0.4188582264","0.1296371575","0.0538952522","0.0821743345","0.150913812","0.05","","0","","0.0004350472","0.0000004393","","0.0000096","","0.0000019128","0.0000010136","","0","0","","","100.3633506999"
