"Service","EC2-Instances($)","EC2-Other($)","S3($)","Elastic Load Balancing($)","Network Firewall($)","CloudWatch($)","VPC($)","Elastic File System($)","ElastiCache($)","Elastic Container Service for Kubernetes($)","Route 53($)","Directory Service($)","EC2 Container Registry (ECR)($)","Secrets Manager($)","DynamoDB($)","Key Management Service($)","Direct Connect($)","Lambda($)","Backup($)","Athena($)","SQS($)","Cost Explorer($)","OpenSearch Service($)","Service Catalog($)","SNS($)","Systems Manager($)","Simple Workflow Service($)","Step Functions($)","Glacier($)","CloudShell($)","CloudTrail($)","Glue($)","X-Ray($)","CloudFormation($)","Certificate Manager($)","Total costs($)"
"2024-05-24","930.0939131615","845.7066265876","46.4264985567","48.879353148","88.5552297516","15.1133700452","17.0106889209","5.2612631609","7.776","4.8","5.5678384","3.4041935279","1.6721254743","1.82311258","0.7381088768","0.623832216","2.0681225918","0.4842778258","0.3513633288","0.12377","0.3574836","0.04","","0","0.0010935838","","0.0000014349","0.0000010136","","","0","0","","","","2026.8782677861"
"2024-05-25","901.3684258574","818.2565759321","46.3415632764","46.3296231549","69.8090115166","14.2582624005","17.2552097719","5.1827449549","7.776","4.8","5.079066","3.3547493195","1.6723015488","1.70822258","0.7336210569","0.621939216","1.9100819941","0.3430295539","0.3513634969","0.126545","0.3070076","0.04","","0.0014","0.0008312048","","0.0000019128","0.0000007602","","","0","0","","","","1947.6275781086"
"2024-05-26","904.1830280474","816.2675702226","46.4582442298","43.2873570552","66.328749778","14.0042908919","17.7980967128","5.0701346423","7.776","4.8","4.8902868","3.3489647915","1.6723015488","1.90144258","0.7378035125","0.623682216","1.93957849","0.3147517405","0.3513634956","0.128745","0.3739132","0.04","","0.0014","0.001089278","","0.0000019128","0.0000010136","","","0","0","","","","1942.2987971593"
"2024-05-27","910.0987444224","821.1529409467","47.223760857","48.3760780638","71.8164628414","15.2890947251","18.2361250019","5.1894487926","7.776","4.8","5.4316064","3.297123064","1.6725800772","1.78426758","0.7575155223","0.621975216","1.8567097359","0.5257170782","0.3513636705","0.13087","0.3963048","0.04","","0.0014","0.000964514","","0.0000014349","0.0000007602","","","0","0","","","","1966.8270555041"
"2024-05-28","929.4269552502","843.7000545651","47.7637630939","50.2917659491","91.8898986286","14.8717902014","18.3244726123","5.3441607185","7.776","4.8","5.4883088","3.4448311529","1.6751663762","1.80241258","2.1209349413","0.623721216","1.8672065287","0.4046701754","0.3514132008","0.133535","0.3618064","0.04","","0.0014","0.0009425998","","0.0000019128","0.0000010136","","","0","0","","","","2032.5052129166"
"2024-05-29","972.5626316398","844.4653734804","48.1530608487","48.4101155799","96.0894115178","14.7582692409","18.3436166573","5.4739663066","7.776","4.8","5.4945284","3.3481350196","1.6806267982","1.95809258","0.760749924","0.619995216","1.8219154442","0.4139858728","0.3515001593","0.135925","0.3790616","0.04","","0.0014","0.0014003905","","0.0000014349","0.0000007602","","","0","0","","","","2077.8397638711"
"2024-05-30","933.1313581606","833.9431146411","49.0606393778","48.2993160797","83.2649937526","15.0020788555","18.0698833324","5.3446253104","7.776","4.8","5.5618648","3.3061120944","1.6929787692","2.57029758","0.7610447372","0.623931216","1.8968968919","0.4875348521","0.3522620649","0.138475","0.392642","0.04","","0.0014","0.0016140588","","0.0000019128","0.0000010136","","","0","0","","","","2016.519066501"
"2024-05-31","929.0486302464","844.8522652023","49.0081697533","49.5127578641","96.5713330289","14.5686193536","17.7930127757","5.6120859005","7.776","4.8","5.6715184","3.3316475307","1.7058005485","2.53205258","0.763299707","0.623688216","1.9882818147","0.423531175","0.3530564703","0.141265","0.3983312","0.04","","0.0014","0.0010771282","","0.0000019128","0.0000007602","","","0","0","","","","2037.5178265682"
"2024-06-01","933.9245312519","832.1723198626","51.1139047157","49.3818347383","65.3881143719","12.4380641846","17.352987867","5.7421633191","7.776","4.8","7.975724","3.498303375","1.769875879","2.2928616664","0.7611797807","0.6442323384","2.0159320199","0.0057134955","0.3654885012","0.143855","0.3534124","0.04","","0","0.0001037638","","0.0000014349","0.0000010136","","","0","0","","","","1999.9566049795"
"2024-06-02","928.5961155899","831.22732557","50.6449419468","47.1722872388","68.1149998966","13.7359555642","16.9638308236","5.6637155354","7.776","4.8","5.4448972","3.2540200778","1.7752843974","2.3975366664","0.764650583","0.6430863384","1.9478540218","0.0452241675","0.3659918984","0.14652","0.3467872","0.04","","0","0.0001164249","","0.0000019128","0.0000010136","","","0","0","","","","1991.8671440673"
"2024-06-03","931.8337819082","844.613631913","51.7150111217","51.6025642893","73.3956385437","14.7389497916","17.3969968797","5.8634691089","7.776","4.8","5.8670052","3.4510630971","1.7809845238","2.0315116664","0.7749375047","0.6433263384","2.0230617472","0.5543132482","0.3665418835","0.148875","0.3280704","0.05","","0","0.0001236814","","0.0000019128","0.0000007602","","","0","0","","","","2021.7558605198"
