"Service","EC2-Instances($)","EC2-Other($)","VPC($)","Relational Database Service($)","S3($)","Elastic Container Service for Kubernetes($)","Elastic Load Balancing($)","CloudWatch($)","SQS($)","Secrets Manager($)","EC2 Container Registry (ECR)($)","SNS($)","Cost Explorer($)","Service Catalog($)","Route 53($)","DynamoDB($)","Key Management Service($)","Step Functions($)","Simple Workflow Service($)","Glacier($)","SES($)","Lambda($)","CloudTrail($)","Glue($)","CloudFormation($)","Total costs($)"
"2024-05-07","47.4770384952","19.8435622923","5.2044526275","9.8995057572","0.3598997882","2.4","0.576809052","1.1870981859","0.0271232","0.0908429024","0.0569061492","0","0.01","0","0.0010032","0.0213120504","0.002799","0.000000312","0.0000005481","0.0000031057","","","0","0","","87.1583566661"
"2024-05-08","47.6683183111","10.8411452545","5.1876665826","9.8104231388","0.2635982966","2.4","0.5741541438","1.187097457","0.0196812","0.0896273648","0.0642177676","0.0000000022","0.01","0","0.0008552","0.0213120504","0.002706","0.000000328","0.0000005742","0.0000030395","","","0","0","","78.1408067111"
"2024-05-09","47.668341918","10.4307765436","5.1854602025","9.6297162579","0.1547099682","2.4","0.5738388796","1.1870981752","0.0068128","0.0916129024","0.0668735874","0","0.01","0","0.0008428","0.0213120504","0.002706","0.000000342","0.0000006264","0.0000030397","","","0","0","","77.4301060933"
"2024-05-10","47.6683538973","10.3276744777","5.1853389046","9.6070406967","0.1170403115","2.4","0.573747422","1.1870974574","0.0018732","0.0918829024","0.0671398728","0","0.01","0","0.0006456","0.0213120504","0.002706","0.000000343","0.0000006003","0.000003084","","","0","0","","77.2618568201"
"2024-05-11","47.3275388055","10.3218703518","5.1851802337","9.6173346788","0.1169992643","2.4","0.5736294665","1.1870974574","0.001862","0.0912573648","0.0671398728","0","0.01","0","0.0000636","0.0213120504","0.002706","0.000000386","0.0000006264","0.0000031281","","","0","0","","76.9239952865"
"2024-05-12","47.6684220813","10.3341416132","5.1853016324","9.6120141693","0.116996786","2.4","0.5737230667","1.1870981968","0.001856","0.0939379024","0.0671398728","0","0.01","0","0.0004076","0.0213120504","0.002772","0.000000343","0.0000006525","0.0000031062","","","0","0","","77.275127073"
"2024-05-13","47.6683498455","10.3219795994","5.1852527397","9.6158692837","0.116996786","2.4","0.5737385778","1.1870974578","0.001834","0.0910773648","0.0671398728","0","0.01","0","0.000532","0.0213120504","0.002178","0.000000299","0.0000005481","0.0000030327","","","0","0","","77.2633614577"
"2024-05-14","47.668359928","10.3215826118","5.1854685405","9.6064269157","0.1170132556","2.4","0.5737835969","1.1858877804","0.001862","0.0928879024","0.0671398728","0","0.01","0","0.000206","0.0213120504","0.002706","0.000000313","0.0000005742","0.0000030659","","","0","0","","77.2546404076"
"2024-05-15","47.6683889736","10.3225616291","5.1851747888","9.6026274712","0.116996786","2.4","0.5736645778","1.1870980187","0.0018452","0.0914673648","0.0671398728","0","0.01","0","0.0000996","0.0213120504","0.002706","0.000000358","0.0000006525","0.0000035741","","","0","0","","77.2510869178"
"2024-05-16","47.6683985055","10.3224880184","5.1851946051","9.612100731","0.1171065134","2.4","0.5736801334","1.1870976133","0.001856","0.0924629024","0.0671398728","0","0.01","0","0.0001036","0.0213120504","0.002706","0.000000315","0.0000006264","0.0000037212","","","0","0","","77.2616512083"
"2024-05-17","47.6704303184","10.5252039777","5.1856419269","9.6082445484","0.1174448784","2.4","0.5738356239","1.1870974588","0.001852","0.0937829024","0.0671398728","0","0.01","0","0.0002008","0.0213120504","0.002772","0.000000314","0.0000005481","0.0000039056","","","0","0","","77.4649631258"
"2024-05-18","47.674326513","10.3331864268","5.1851968153","9.601961879","0.1171375686","2.4","0.5737734221","1.1870974588","0.0018672","0.0940529024","0.0671398728","0","0.01","0","0.0001604","0.0213120504","0.002706","0.000000344","0.0000006264","0.000004024","","","0","0","","77.2699235036"
"2024-05-19","47.6744715182","10.3344681928","5.1851492954","9.6054797632","0.1171162242","2.4","0.5736670667","1.1870974588","0.0018508","0.0932629024","0.0671398728","0","0.01","0","0.0000272","0.0213120504","0.002706","0.000000315","0.0000004437","0.0000038214","","","0","0","","77.273752925"
