"Service","EC2-Instances($)","EC2-Other($)","ElastiCache($)","VPC($)","Elastic Load Balancing($)","CloudWatch($)","Elastic Container Service for Kubernetes($)","S3($)","SQS($)","DynamoDB($)","Key Management Service($)","EC2 Container Registry (ECR)($)","Cost Explorer($)","Route 53($)","Service Catalog($)","Secrets Manager($)","SNS($)","Simple Workflow Service($)","Step Functions($)","CloudShell($)","CloudTrail($)","Glue($)","CloudFormation($)","Total costs($)"
"2024-06-23","40.2812341072","26.6322956696","7.44","7.9206533053","3.66934288","3.6853486114","2.4","0.7175838794","0.6529964","0.1989130342","0.0696606672","0.042438456","0.06","","0","0.000045","0","0.0000014349","0.0000007602","","0","0","","93.7705142054"
"2024-06-24","39.9886183254","26.8129225212","7.44","7.9566596338","3.712188635","3.7062459326","2.4","0.7464626636","0.6524224","0.1989221428","0.0699276672","0.042438456","0.01","","0.0021","0.00014","0","0.0000014349","0.0000007602","","0","0","","93.7390505727"
"2024-06-25","40.1660998409","26.8618197025","7.44","8.047688491","3.7347109049","3.6968834602","2.4","2.4721539786","0.6526412","0.1989190196","0.0700506672","0.042438456","0.01","","0.0021","0.000145","0","0.0000019128","0.0000010136","","0","0","","95.7956536473"
"2024-06-26","40.2379266164","26.7589371427","7.44","8.0540844051","3.7265629455","3.7000613522","2.4","0.8099967986","0.6525164","0.1989130431","0.0695046672","0.042438456","0.01","","0.0021","0.000125","0","0.0000014349","0.0000010136","","0","0","","94.1031692753"
"2024-06-27","40.1177994777","26.6628880056","7.44","7.9580877943","3.7312452772","4.0299964022","2.4","1.1922103635","0.6523668","0.1989130422","0.0700506672","0.042438456","0.01","","0.0021","0.000115","0","0.0000019128","0.0000010136","","0","0","","94.5082142123"
"2024-06-28","40.7776813247","26.7005041652","7.44","7.9237810036","3.7301652958","3.6943225757","2.4","1.1717318446","0.6526768","0.198913044","0.0701586672","0.042438456","","","0.0021","0.00015","0","0.0000014349","0.0000007602","","0","0","","94.8046253719"
"2024-06-29","40.3264019607","26.6748949321","7.44","7.9206254009","3.7112552425","3.691264072","2.4","1.6388062105","0.6524412","0.1989130438","0.0700776672","0.042438456","0.01","","0.0021","0.00016","0","0.0000019128","0.0000010136","","0","0","","94.7793811121"
"2024-06-30","39.7483922791","26.5987450068","7.44","8.0201167772","3.698219201","3.6812932119","2.4","0.722577336","0.6529904","0.1989130431","0.0701586672","0.042438456","0.01","","0.0021","0.00016","0","0.0000019128","0.0000010136","","0","0","","93.2861073047"
"2024-07-01","40.1013601472","26.0842901342","7.44","8.0502751644","3.7382632444","2.2394386263","2.4","3.7342149264","0.6524808","0.056832","0.067903128","0.0410694768","0.01","0.1","0","0.000135","0","0.0000019128","0.0000010136","","0","0","","94.7162655741"
"2024-07-02","41.7816353052","26.1425678835","7.44","8.0466333749","3.7403382383","3.6586376506","2.4","1.1803764432","0.6523636","0.1989130128","0.067900128","0.0410694768","0.01","","0","0.000155","0","0.0000014349","0.0000010136","","0","0","","95.3605925618"
"2024-07-03","41.3895819417","26.0404366675","7.44","8.1140420911","3.727802241","3.6525948378","2.4","0.7085517195","0.6519172","0.1989130128","0.067822128","0.0410694768","0.01","","0","0.000155","0","0.0000019128","0.0000007602","","0","0","","94.4428889892"
