service_id,service_type,month,spend
25,Network Firewall,2025-01-01,3358.8909
25,Network Firewall,2025-02-01,3034.9171
25,Network Firewall,2025-03-01,2791.5153
26,DynamoDB Accelerator (DAX),2024-04-01,3273.84
26,DynamoDB Accelerator (DAX),2024-05-01,3382.968
26,DynamoDB Accelerator (DAX),2024-06-01,3273.84
26,DynamoDB Accelerator (DAX),2024-07-01,3362.844
26,DynamoDB Accelerator (DAX),2024-08-01,3295.92
26,DynamoDB Accelerator (DAX),2024-09-01,3189.6
26,DynamoDB Accelerator (DAX),2024-10-01,3295.92
26,DynamoDB Accelerator (DAX),2024-11-01,3189.6
26,DynamoDB Accelerator (DAX),2024-12-01,3295.92
26,DynamoDB Accelerator (DAX),2025-01-01,3295.92
26,DynamoDB Accelerator (DAX),2025-02-01,2976.96
26,DynamoDB Accelerator (DAX),2025-03-01,3295.92
27,SUSE Linux Enterprise Server for SAP Applications 15 SP1,2024-04-01,2448.739
27,SUSE Linux Enterprise Server for SAP Applications 15 SP1,2024-05-01,2531.121
27,SUSE Linux Enterprise Server for SAP Applications 15 SP1,2024-06-01,2448.0
27,SUSE Linux Enterprise Server for SAP Applications 15 SP1,2024-07-01,2529.09
27,SUSE Linux Enterprise Server for SAP Applications 15 SP1,2024-08-01,2529.6
27,SUSE Linux Enterprise Server for SAP Applications 15 SP1,2024-09-01,2601.935
27,SUSE Linux Enterprise Server for SAP Applications 15 SP1,2024-10-01,2531.3
27,SUSE Linux Enterprise Server for SAP Applications 15 SP1,2024-11-01,2449.701
27,SUSE Linux Enterprise Server for SAP Applications 15 SP1,2024-12-01,2534.064
27,SUSE Linux Enterprise Server for SAP Applications 15 SP1,2025-01-01,2535.512
27,SUSE Linux Enterprise Server for SAP Applications 15 SP1,2025-02-01,2284.728
27,SUSE Linux Enterprise Server for SAP Applications 15 SP1,2025-03-01,2535.603
28,QuickSight,2024-04-01,2237.9217
28,QuickSight,2024-05-01,2241.1474
28,QuickSight,2024-06-01,2307.7419
28,QuickSight,2024-07-01,2290.1172
28,QuickSight,2024-08-01,2235.32
28,QuickSight,2024-09-01,2271.22
28,QuickSight,2024-10-01,2296.0942
28,QuickSight,2024-11-01,2312.5534
28,QuickSight,2024-12-01,2331.32
28,QuickSight,2025-01-01,2449.0347
28,QuickSight,2025-02-01,2605.3143
28,QuickSight,2025-03-01,2661.1901
29,Lambda,2024-04-01,3117.5411
29,Lambda,2024-05-01,2512.424
29,Lambda,2024-06-01,2426.7048
29,Lambda,2024-07-01,2463.92
29,Lambda,2024-08-01,2549.5414
29,Lambda,2024-09-01,1979.2407
29,Lambda,2024-10-01,2146.2062
29,Lambda,2024-11-01,2019.874
29,Lambda,2024-12-01,2230.0975
29,Lambda,2025-01-01,2248.529
29,Lambda,2025-02-01,2097.8104
29,Lambda,2025-03-01,2255.8379
30,Config,2024-04-01,1077.672
30,Config,2024-05-01,1300.372
30,Config,2024-06-01,1289.202
30,Config,2024-07-01,2168.07
30,Config,2024-08-01,2386.945
30,Config,2024-09-01,1808.257
30,Config,2024-10-01,2023.44
30,Config,2024-11-01,2074.348
30,Config,2024-12-01,2517.434
30,Config,2025-01-01,3263.499
30,Config,2025-02-01,3427.892
