account_id,service_name,2025-04-26,2025-04-27,2025-04-28,2025-04-29,2025-04-30,2025-05-01,2025-05-02,total_cost
066636274316,Amazon Elastic Container Service for Kubernetes,2.4,2.4,2.4,2.4,1.9,2.4,2.4,16.3
066636274316,AWS Step Functions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
066636274316,Amazon Route 53,0,0,0,0,0,0.6,0,0.6
066636274316,AWS Cost Explorer,0.05,0.04,0.05,0.05,0.05,0.05,0.04,0.33
066636274316,Amazon EC2 Container Registry (ECR),0.09,0.09,0.09,0.09,0.07,0.09,0.09,0.61
066636274316,Amazon Simple Queue Service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
066636274316,Amazon Simple Workflow Service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
066636274316,Amazon Elastic Compute Cloud - Compute,31.0,33.16,31.56,26.83,22.38,26.31,32.5,203.74
068930846606,AmazonCloudWatch,0.66,0.66,0.64,0.64,0.51,1.7,1.7,6.51
068930846606,Amazon Simple Email Service,0.91,1.09,0.98,0.97,1.11,0.47,1.15,6.68
068930846606,Amazon Virtual Private Cloud,8.11,8.11,8.09,8.1,6.46,8.15,8.11,55.13
068930846606,Amazon Simple Notification Service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
068930846606,AWS Service Catalog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
068930846606,Amazon Elastic Load Balancing,5.73,5.64,5.27,5.19,5.02,5.92,5.55,38.32
068930846606,AWS CloudTrail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
068930846606,AWS Secrets Manager,0.31,0.31,0.31,0.3,0.25,0.3,0.3,2.08
068930846606,AWS Backup,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
068930846606,AWS Glue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
068930846606,Amazon Simple Storage Service,1.21,1.21,1.21,1.21,1.22,1.19,1.18,8.43
068930846606,Amazon API Gateway,0.05,0.05,0.04,0.04,0.06,0.09,0.08,0.41
068930846606,EC2 - Other,43.65,43.59,43.46,43.52,28.98,42.52,42.49,288.21
068930846606,Amazon Elastic File System,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
068930846606,Amazon DynamoDB,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.14
068930846606,AWS Key Management Service,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.02
068930846606,Amazon Elastic Container Service for Kubernetes,2.4,2.4,2.4,2.4,1.9,2.4,2.4,16.3
068930846606,AWS Step Functions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
068930846606,Amazon Route 53,0.01,0.01,0.01,0.01,0.01,0.23,0.02,0.3
068930846606,AWS Cost Explorer,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.34
068930846606,Amazon EC2 Container Registry (ECR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
068930846606,Amazon Simple Queue Service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
068930846606,Amazon Simple Workflow Service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
068930846606,Amazon Elastic Compute Cloud - Compute,61.67,61.67,61.64,61.67,48.79,61.67,61.67,418.78
072401294672,AmazonCloudWatch,2.21,2.21,2.21,2.21,1.73,0.5,2.34,13.41
072401294672,Amazon Virtual Private Cloud,7.21,7.21,7.21,7.21,5.7,7.21,7.21,48.96
072401294672,Amazon Simple Notification Service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
072401294672,AWS Service Catalog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
072401294672,AWS CloudTrail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
072401294672,AWS Secrets Manager,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
072401294672,AWS Backup,7.62,7.62,7.62,7.62,0,7.38,7.38,45.24
072401294672,AWS Glue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
072401294672,AWS Lambda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
