Service,2025-04-01,2025-04-02,2025-04-03,2025-04-04,2025-04-05,2025-04-06,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16,2025-04-17
Backup($),43.6900531776,43.5438224587,43.7092014981,43.9481446339,43.9490254198,43.9573693006,44.0062929584,44.2462198383,44.2812352085,44.4970866462,44.6905731535,45.0633213132,45.0666328449,45.1234103965,45.0528657429,45.2787612462,45.721215554
Secrets Manager($),36.7891433504,35.8912900158,36.6544600138,36.5658883464,36.2188483464,36.1221433464,36.695441126,35.3589277934,35.4852783496,36.7981600158,36.5791889052,36.7714950168,36.0552500168,36.3511200168,35.5164955721,35.4458944613,36.462706684
Kinesis Firehose($),32.7057014928,34.7198674189,36.4574242385,37.4885727398,35.3452176368,34.1678747071,34.9659567239,35.9567990937,36.9388419906,36.9986687347,35.7185524042,35.5082892398,35.15501269,34.1125555109,35.375925825,35.1934467682,35.141479662
Bedrock($),79.757416246,64.22421151,30.652913404,36.724572458,25.86199683,25.26422328,28.54521122,31.78978468,30.945078804,27.064899654,25.523979272,22.49226415,19.19994009,25.05366378,35.333305132,37.081335596,36.601580168
Key Management Service($),33.58480992,33.764604476,34.0724996989,34.2732332556,34.1592690337,34.098820145,34.0815350341,34.0504349232,34.3824858122,34.3930805907,34.2349413682,34.1716665906,34.155213924,34.137162924,34.167273924,34.107912924,34.1512113688
Glue($),32.231441,31.68655072,31.67517936,31.30685888,31.08665956,31.2612631811,33.6864214703,33.8511527957,33.5972840673,33.9318769418,33.7399845697,33.1575614757,33.1525107852,34.3670577399,33.5695838286,34.1283037134,33.7186097272
Athena($),33.505055,40.454575,36.302775,38.54415,26.673865,19.388065,31.542265,38.618815,30.34558,30.598215,34.465925,22.924595,24.172045,32.008055,24.257495,36.84715,30.9545
Cost Explorer($),28.1393113333,33.8776886667,31.418237,29.1455326667,29.169658,31.0056943333,65.4936913333,45.211166,44.0850253333,17.6433333333,23.8733333333,15.5233333333,15.7833333333,50.3633333333,22.2033333333,18.5333333333,16.3833333333
SES($),15.6949080267,18.14468213,18.2713294581,18.5632553081,12.6749932143,12.0479020954,21.0747486344,18.975403068,20.1349356277,18.3619655794,17.2287981012,12.7859806611,13.8440211332,14.2754169803,18.9396765028,18.7316186647,18.9199099631
SQS($),19.787725287,19.3028110166,18.7206524039,16.1325059948,13.7096585515,11.988943674,16.0944333922,16.1365874667,18.5895237457,16.8506986483,15.1720357322,13.1351116798,10.9635789799,12.9030141459,15.2135943256,15.660362539,17.4258052574
Kinesis($),15.553930648,15.5545698415,15.554337944,15.554547253,15.553692886,15.5526718895,15.5532468325,15.552739211,15.552585069,15.5526436955,15.552846437,15.5522743245,15.5515156395,15.5518819765,15.5523269755,15.5523066995,15.552360997
MongoDB Atlas (pay-as-you-go)($),11.0,16.0,14.0,12.0,13.0,12.0,13.0,14.0,11.0,11.0,14.0,,25.0,13.0,13.0,12.0,13.0
SUSE Linux Enterprise Server for SAP Applications 15 SP5($),12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24,12.24
Directory Service($),10.0233333667,10.3068898726,10.0634501136,10.0263623253,10.276089853,10.0571450196,10.0554736332,9.8040819525,10.2160680028,10.1567278362,10.0047186168,10.1398159916,10.213534975,9.7062979221,10.0791226662,10.3457152554,9.9028303111
Lightsail($),11.3427629254,8.3427629254,8.3427629254,8.3427629254,8.3427629254,8.3427629254,8.3427629254,8.3427629254,8.3427629254,8.3427629254,8.3427629254,8.3427629254,8.3427629254,8.3427629254,8.3427629254,8.3427629254,8.3427629254
CloudTrail($),5.8946297415,5.8065649791,6.0198005464,5.7473238991,5.6366988692,5.6238260146,5.8168352608,5.7727146246,6.1122801663,6.0111799437,6.2064442857,5.5277375352,5.5635039167,5.7312913346,5.6709912252,5.7172929533,5.6513816126
Identity and Access Management Access Analyzer($),92.6,,,,,,,,,,,,,,0.2,,
Resilience Hub($),60.0,,,,,,,,,,,,,,,,
WAF($),3.1345452864,3.1365390864,3.1337514864,3.1414902864,3.1384392864,3.1216578864,3.1374534864,3.1555793532,3.1353720864,3.1442802864,3.1452798864,3.1335996864,3.1259142864,3.1284630864,3.1325082864,3.1363980864,3.1463004864
Service Catalog($),0.0,0.9961,1.4826,1.2551,0.9352,1.6002,2.5445,3.6988,2.807,3.0933,4.0096,3.7863,3.9809,3.9123,3.2165,3.1087,3.7114
Global Accelerator($),2.4000814692,2.4001020778,2.4000796622,2.4001918382,2.4000822575,2.4001594046,2.4002237622,2.4001575515,2.4024679999,2.4054923831,2.4001075047,2.400121431,2.4000896458,2.4000918194,2.4001012143,2.4000890712,2.4000925417
